target_id	length	eff_length	est_counts	tpm
YBL087C	394	371	82.7861	921.222
YBL088C	8344	8321	5	2.4807
YBL089W	1360	1337	5	15.439
YBL090W	514	491	9	75.6731
YBL091C	1246	1223	24	81.015
YBL091C-A	508	485	4	34.0486
YBL092W	373	350	217	2559.6
YBL093C	643	620	10	66.5869
YBL095W	793	770	9	48.2539
YBL097W	2245	2222	4	7.43184
YBL098W	1363	1340	9	27.728
YBL099W	1618	1595	483	1250.16
YBL100W-A	1297	1274	0	0
YBL100W-B	5293	5270	0	0
YBL100W-C	100	77	0	0
YBL101C	3334	3311	38	47.3811
YBL102W	628	605	9	61.414
YBL103C	1441	1418	20	58.2283
YBL104C	3097	3074	8	10.744
YBL105C	3436	3413	24	29.0306
YBL106C	3013	2990	0	0
YBL107C	571	548	3	22.6007
YBL108C-A	109	86	0	0
YBL111C	1984	1961	1.87517e-07	3.9477e-07
YBL112C	298	275	0	0
YBL113C	2359	2336	0	0
YBR001C	2323	2300	26	46.6687
YBR002C	841	818	4	20.1877
YBR003W	1402	1379	11	32.9313
YBR004C	1282	1259	6	19.6746
YBR005W	622	599	9	62.0292
YBR006W	1474	1451	75	213.39
YBR007C	2191	2168	3	5.71271
YBR008C	1627	1604	0	0
YBR009C	292	269	96.1875	1476.21
YBR010W	391	368	167.017	1873.67
YBR011C	844	821	279	1402.95
YBR012W-A	1303	1280	24.3195	78.4377
YBR012W-B	5251	5228	0	0
YBR013C	370	347	1	11.8974
YBR014C	592	569	13	94.3217
YBR015C	1774	1751	17	40.0814
YBR016W	367	344	27	324.03
YBR017C	2737	2714	30	45.6344
YBR018C	1081	1058	0	0
YBR019C	2080	2057	1	2.00699
YBR020W	1567	1544	0	0
YBR021W	1882	1859	3	6.66227
YBR022W	514	491	6	50.4487
YBR023C	3478	3455	24	28.6777
YBR024W	886	863	5	23.9188
YBR025C	1165	1142	105	379.58
YBR026C	1123	1100	51	191.407
YBR028C	1558	1535	2	5.37901
YBR029C	1354	1331	16	49.6275
YBR030W	1639	1616	1	2.5547
YBR031W	1069	1046	237.784	938.494
YBR033W	2740	2717	7	10.6363
YBR034C	1027	1004	16	65.7911
YBR035C	667	644	33	211.548
YBR036C	1213	1190	31	107.546
YBR037C	868	845	7	34.1997
YBR038W	2872	2849	7	10.1435
YBR039W	916	893	184	850.642
YBR040W	877	854	1	4.83418
YBR041W	1990	1967	11	23.0871
YBR042C	1174	1151	4	14.3471
YBR043C	2050	2027	5	10.1835
YBR044C	1699	1676	6	14.7794
YBR045C	1900	1877	0	0
YBR046C	985	962	73	313.277
YBR047W	508	485	12	102.146
YBR048W	451	428	108.872	1050.15
YBR049C	2413	2390	35	60.4576
YBR050C	997	974	16	67.8175
YBR052C	613	590	7	48.9809
YBR053C	1057	1034	17	67.8749
YBR054W	1015	992	628.305	2614.81
YBR055C	2680	2657	10	15.5378
YBR056W	1486	1463	41	115.696
YBR056W-A	181	158	8	209.032
YBR057C	1081	1058	5	19.5103
YBR058C	2326	2303	19	34.0597
YBR058C-A	223	200	11	227.061
YBR059C	3307	3284	35	43.9993
YBR060C	1843	1820	2	4.53669
YBR061C	913	890	4	18.5546
YBR062C	523	500	13	107.338
YBR063C	1195	1172	1	3.52252
YBR065C	1075	1052	3	11.773
YBR066C	643	620	10	66.5869
YBR067C	613	590	32	223.913
YBR068C	1810	1787	103	237.954
YBR069C	1840	1817	12	27.2651
YBR070C	694	671	5	30.763
YBR071W	616	593	10	69.6187
YBR072C-A	142	119	0	0
YBR072W	625	602	4232	29022.2
YBR073W	2857	2834	6	8.74041
YBR074W	2911	2888	10	14.295
YBR076W	1045	1022	2	8.07904
YBR077C	469	446	8	74.0518
YBR078W	1270	1247	292	966.712
YBR079C	2875	2852	60	86.8525
YBR080C	2257	2234	34	62.8313
YBR081C	3979	3956	4	4.17431
YBR082C	427	404	61	623.346
YBR083W	1441	1418	1	2.91142
YBR084C-A	550	527	137.036	1073.51
YBR084W	2908	2885	20	28.6197
YBR085C-A	238	215	204	3917.17
YBR085W	904	881	1	4.68603
YBR086C	2821	2798	46	67.872
YBR087W	1045	1022	4	16.1581
YBR088C	757	734	14	78.7431
YBR089C-A	280	257	18.578	298.433
YBR090C	349	326	4.42196	55.9987
YBR091C	310	287	0	0
YBR092C	1384	1361	22.9544	69.6287
YBR093C	1384	1361	24.0253	72.8771
YBR094W	2242	2219	12	22.3257
YBR095C	1273	1250	9	29.7244
YBR096W	673	650	21	133.379
YBR097W	4345	4322	18	17.1937
YBR098W	2056	2033	0	0
YBR101C	853	830	39	193.985
YBR102C	2242	2219	13	24.1861
YBR103W	1588	1565	9	23.7415
YBR104W	970	947	3	13.0783
YBR105C	1069	1046	17	67.0962
YBR106W	547	524	50	393.93
YBR107C	718	695	1	5.94013
YBR108W	2824	2801	24	35.3736
YBR109C	424	401	95	978.047
YBR110W	1330	1307	14	44.2215
YBR111C	676	653	32	202.31
YBR111W-A	271	248	4	66.5869
YBR112C	2881	2858	31.6921	45.7794
YBR114W	2353	2330	9	15.9466
YBR115C	4159	4136	46	45.9153
YBR117C	2026	2003	96	197.866
YBR118W	1357	1334	2085.04	6452.66
YBR119W	877	854	4	19.3367
YBR120C	469	446	6	55.5389
YBR121C	1984	1961	92	193.683
YBR122C	514	491	4	33.6325
YBR123C	1930	1907	8	17.3189
YBR125C	1162	1139	11	39.8703
YBR126C	1468	1445	172	491.407
YBR126W-A	187	164	10	251.731
YBR127C	1534	1511	152	415.298
YBR128C	1015	992	2	8.32336
YBR129C	967	944	6	26.2398
YBR130C	1258	1235	11	36.7711
YBR131W	2095	2072	5	9.96233
YBR132C	1771	1748	25	59.0445
YBR133C	2464	2441	9	15.2214
YBR135W	433	410	7	70.4847
YBR136W	7087	7064	7	4.09099
YBR137W	520	497	6	49.8397
YBR138C	1555	1532	2	5.38954
YBR139W	1507	1484	62	172.48
YBR140C	9259	9236	56	25.0314
YBR141C	994	971	1	4.25169
YBR142W	2302	2279	8	14.4919
YBR143C	1294	1271	54	175.4
YBR145W	1036	1013	6	24.4524
YBR146W	817	794	6	31.1969
YBR147W	871	848	18	87.6309
YBR148W	1810	1787	0	0
YBR149W	1015	992	58	241.378
YBR150C	3265	3242	10.1833	12.9674
YBR151W	931	908	9	40.9201
YBR152W	856	833	3	14.8681
YBR153W	715	692	0	0
YBR154C	628	605	13	88.7092
YBR155W	1138	1115	8	29.6207
YBR156C	2077	2054	2	4.01985
YBR157C	748	725	0	0
YBR158W	1630	1607	4	10.276
YBR159W	1024	1001	34	140.225
YBR160W	877	854	12	58.0101
YBR161W	1111	1088	4	15.1779
YBR162C	1348	1325	58	180.714
YBR162W-A	178	155	9	239.713
YBR163W	1738	1715	1	2.40722
YBR164C	532	509	4	32.4431
YBR165W	814	791	12	62.6304
YBR166C	1339	1316	8	25.0966
YBR167C	403	380	1	10.8642
YBR168W	1222	1199	4	13.7728
YBR169C	2062	2039	173	350.275
YBR170C	1723	1700	26	63.1401
YBR171W	601	578	6	42.8552
YBR172C	2203	2180	21	39.7689
YBR173C	427	404	28	286.126
YBR175W	928	905	4	18.247
YBR176W	919	896	11	50.6833
