target_id	length	eff_length	est_counts	tpm
YAL001C	3463	3440	18	13.4612
YAL002W	3805	3782	9	6.12198
YAL003W	601	578	415	1847.1
YAL005C	1909	1886	2837.55	3870.56
YAL007C	628	605	16	68.0355
YAL008W	577	554	17	78.9424
YAL009W	760	737	4	13.9625
YAL010C	1462	1439	4	7.15106
YAL011W	1858	1835	13	18.2255
YAL012W	1165	1142	184	414.498
YAL013W	1198	1175	24	52.5466
YAL014C	748	725	15	53.2261
YAL015C	1180	1157	5	11.1175
YAL016W	1888	1865	122	168.288
YAL017W	4051	4028	55	35.1273
YAL018C	958	935	0	0
YAL019W	3376	3353	23	17.6468
YAL020C	982	959	1	2.68258
YAL021C	2494	2471	37	38.5212
YAL022C	1534	1511	10	17.0258
YAL023C	2260	2237	51	58.651
YAL024C	4288	4265	4	2.41275
YAL025C	901	878	11	32.2307
YAL026C	4048	4025	24	15.3397
YAL027W	766	743	3	10.3873
YAL028W	1567	1544	1	1.66619
YAL029C	4396	4373	17	10.0009
YAL030W	334	311	11	90.9921
YAL031C	2263	2240	16	18.3757
YAL032C	1120	1097	12	28.1414
YAL033W	502	479	3	16.1123
YAL034C	1222	1199	108	231.727
YAL034W-A	850	827	2	6.22151
YAL035W	2989	2966	83	71.991
YAL036C	1090	1067	27	65.0984
YAL037C-A	73	50	0	0
YAL037W	784	761	5	16.9027
YAL038W	1483	1460	2268	3996.33
YAL039C	790	767	38	127.456
YAL040C	1723	1700	15	22.6994
YAL041W	2545	2522	35	35.7021
YAL042W	1228	1205	24	51.2384
YAL043C	2338	2315	23	25.5592
YAL044C	493	470	100	547.36
YAL044W-A	313	290	10	88.7101
YAL046C	337	314	9	73.7368
YAL047C	1849	1826	7	9.86208
YAL048C	1969	1946	19	25.1178
YAL049C	721	698	30	110.57
YAL051W	3124	3101	33	27.3768
YAL053W	2332	2309	121	134.813
YAL054C	2122	2099	296	362.786
YAL055W	523	500	3	15.4356
YAL056W	2623	2600	31	30.6732
YAL058W	1489	1466	3	5.26452
YAL059W	619	596	6	25.8986
YAL060W	1129	1106	34	79.0852
YAL061W	1234	1211	550	1168.4
YAL062W	1354	1331	109.306	211.269
YAL063C	3949	3926	0	0
YAL063C-A	271	248	0	0
YAL064C-A	361	338	0	0
YAL064W	265	242	0	0
YAL064W-B	361	338	1	7.61122
YAL065C	367	344	0.918618	6.86986
YAL067C	1762	1739	2	2.9587
YAL067W-A	208	185	0	0
YAL068C	343	320	0	0
YAR002C-A	640	617	43	179.289
YAR002W	1600	1577	22	35.8891
YAR003W	1261	1238	6	12.4681
YAR007C	1846	1823	24	33.8685
YAR008W	808	785	1	3.27719
YAR009C	3571	3548	0	0
YAR010C	1303	1280	1.95193	3.92306
YAR014C	2110	2087	18	22.1882
YAR015W	901	878	16	46.881
YAR018C	1288	1265	7	14.2357
YAR019C	2905	2882	15	13.3896
YAR020C	148	125	0	0
YAR023C	520	497	0	0
YAR027W	688	665	33.6216	130.067
YAR028W	685	662	20.3784	79.1925
YAR029W	205	182	1	14.1351
YAR031W	877	854	0	0
YAR033W	685	662	3	11.6583
YAR035C-A	61	38	1	67.6999
YAR035W	2044	2021	283	360.24
YAR042W	3547	3524	30	21.9006
YAR050W	4594	4571	1.08138	0.60861
YAR064W	280	257	0	0
YAR066W	592	569	0.5	2.26063
YAR068W	466	443	0	0
YAR071W	1384	1361	0	0
YBL001C	295	272	38	359.406
YBL002W	376	353	81.4458	593.561
YBL003C	379	356	83.1088	600.576
YBL004W	7462	7439	40	13.833
YBL005W	2911	2888	3	2.67236
YBL005W-A	1303	1280	0	0
YBL005W-B	5248	5225	0	0
YBL006C	523	500	6	30.8711
YBL007C	3715	3692	70	48.7762
YBL008W	2503	2480	12	12.448
YBL008W-A	220	197	0	0
YBL009W	2011	1988	2	2.58812
YBL010C	823	800	1	3.21574
YBL011W	2260	2237	16	18.4003
YBL013W	1186	1163	1	2.21203
YBL014C	2665	2642	2	1.94746
YBL015W	1561	1538	369	617.222
YBL016W	1042	1019	2	5.04925
YBL017C	4720	4697	81	44.3645
YBL018C	382	359	5	35.83
YBL019W	1543	1520	4	6.76998
YBL020W	1705	1682	8	12.2359
YBL021C	415	392	4	26.251
YBL022C	3382	3359	56	42.8893
YBL023C	2587	2564	13	13.0436
YBL024W	2035	2012	33	42.1946
YBL025W	418	395	5	32.5645
YBL026W	268	245	19	199.507
YBL027W	550	527	211.394	1031.94
YBL028C	301	278	13	120.301
YBL029C-A	265	242	13	138.197
YBL029W	1111	1088	9	21.2806
YBL030C	937	914	761	2141.95
YBL031W	997	974	0	0
YBL032W	1126	1103	14	32.653
YBL033C	1018	995	44	113.763
YBL034C	4522	4499	16	9.14903
YBL035C	2098	2075	12	14.8777
YBL036C	754	731	25	87.982
YBL037W	3058	3035	31	26.2769
YBL038W	679	656	27	105.884
YBL039C	1720	1697	19	28.8033
YBL039W-B	160	137	2	37.5561
YBL040C	640	617	21	87.5599
YBL041W	706	683	80	301.329
YBL042C	1900	1877	6	8.22353
YBL043W	754	731	466	1639.98
YBL044W	349	326	0	0
YBL045C	1354	1331	278	537.326
YBL046W	1306	1283	6	12.0308
YBL047C	4126	4103	137	85.8994
YBL049W	397	374	97	667.224
YBL050W	859	836	50	153.863
YBL051C	1987	1964	55	72.0431
YBL052C	2476	2453	6	6.29252
YBL054W	1558	1535	5	8.37978
YBL055C	1237	1214	12	25.4293
YBL056W	1387	1364	40	75.4426
YBL057C	607	584	3	13.2154
YBL058W	1252	1229	56	117.222
YBL059C-A	310	287	7	62.7462
YBL059W	562	539	2	9.5458
YBL060W	2044	2021	8	10.1834
YBL061C	2071	2048	16	20.0984
YBL063W	3316	3293	3	2.34369
YBL064C	766	743	180	623.239
YBL066C	3427	3404	27	20.4054
YBL067C	2224	2201	13	15.1948
YBL068W	961	938	19	52.1101
YBL069W	1270	1247	23	47.4496
YBL071C-B	79	56	0	0
YBL071W-A	229	206	12	149.86
YBL072C	583	560	316.132	1452.29
YBL074C	1048	1025	1	2.50985
YBL075C	1930	1907	269	362.888
YBL076C	3199	3176	169	136.892
YBL078C	334	311	114	943.009
YBL079W	4489	4466	31	17.8572
YBL080C	1606	1583	5	8.12569
YBL081W	1087	1064	3	7.25355
YBL082C	1357	1334	6	11.5709
YBL084C	2257	2234	22	25.3344
YBL085W	2923	2900	15	13.3065
YBL086C	1381	1358	8	15.1552
YBL087C	394	371	116.404	807.174
YBL088C	8344	8321	9	2.78252
YBL089W	1360	1337	6	11.5449
YBL090W	514	491	15	78.5925
YBL091C	1246	1223	30	63.1053
YBL091C-A	508	485	5	26.5216
YBL092W	373	350	377	2771.05
YBL093C	643	620	15	62.2402
YBL095W	793	770	29	96.8899
YBL097W	2245	2222	7	8.10448
YBL098W	1363	1340	6	11.5191
YBL099W	1618	1595	633	1020.97
YBL100W-A	1297	1274	0	0
YBL100W-B	5293	5270	0	0
YBL100W-C	100	77	0	0
YBL101C	3334	3311	62	48.173
YBL102W	628	605	27	114.81
YBL103C	1441	1418	30	54.4272
YBL104C	3097	3074	21	17.5746
YBL105C	3436	3413	52	39.1957
YBL106C	3013	2990	0	0
YBL107C	571	548	5	23.4726
YBL108C-A	109	86	0	0
YBL111C	1984	1961	0	0
YBL112C	298	275	0	0
YBL113C	2359	2336	3.10096	3.41503
YBR001C	2323	2300	49.1877	55.0174
YBR002C	841	818	11	34.5948
YBR003W	1402	1379	14	26.1177
YBR004C	1282	1259	6	12.2602
YBR005W	622	599	8	34.3585
YBR006W	1474	1451	159	281.904
YBR007C	2191	2168	5	5.9331
YBR008C	1627	1604	1	1.60386
YBR009C	292	269	155	1482.35
YBR010W	391	368	256.904	1795.95
YBR011C	844	821	326	1021.52
YBR012W-A	1303	1280	2.59349e-05	5.2125e-05
YBR012W-B	5251	5228	8.48312	4.17437
YBR013C	370	347	5	37.0691
YBR014C	592	569	18	81.3826
YBR015C	1774	1751	34	49.9533
YBR016W	367	344	34	254.268
YBR017C	2737	2714	39	36.968
YBR018C	1081	1058	0	0
YBR019C	2080	2057	0	0
YBR020W	1567	1544	0	0
YBR021W	1882	1859	4	5.53544
YBR022W	514	491	7	36.6765
YBR023C	3478	3455	32	23.8272
YBR024W	886	863	13	38.7529
YBR025C	1165	1142	207	466.311
YBR026C	1123	1100	84	196.453
YBR028C	1558	1535	6	10.0557
YBR029C	1354	1331	23	44.455
YBR030W	1639	1616	2	3.1839
