target_id	length	eff_length	est_counts	tpm
YAL001C	3463	3440	76	13.5371
YAL002W	3805	3782	44	7.12854
YAL003W	601	578	1340	1420.52
YAL005C	1909	1886	19924.3	6473.07
YAL007C	628	605	47	47.6006
YAL008W	577	554	102	112.813
YAL009W	760	737	15	12.4708
YAL010C	1462	1439	36	15.3289
YAL011W	1858	1835	49	16.3617
YAL012W	1165	1142	690	370.214
YAL013W	1198	1175	78	40.6749
YAL014C	748	725	51	43.1024
YAL015C	1180	1157	27	14.2988
YAL016W	1888	1865	450	147.844
YAL017W	4051	4028	224	34.0744
YAL018C	958	935	1	0.655327
YAL019W	3376	3353	108	19.736
YAL020C	982	959	19	12.1396
YAL021C	2494	2471	216	53.5612
YAL022C	1534	1511	50	20.2757
YAL023C	2260	2237	285	78.0636
YAL024C	4288	4265	38	5.45926
YAL025C	901	878	43	30.0084
YAL026C	4048	4025	126	19.1811
YAL027W	766	743	27	22.2661
YAL028W	1567	1544	12	4.76216
YAL029C	4396	4373	54	7.56631
YAL030W	334	311	38	74.8674
YAL031C	2263	2240	83	22.7039
YAL032C	1120	1097	107	59.765
YAL033W	502	479	17	21.7462
YAL034C	1222	1199	489	249.896
YAL034W-A	850	827	11	8.14998
YAL035W	2989	2966	321	66.3137
YAL036C	1090	1067	96	55.1285
YAL037C-A	73	50	0	0
YAL037W	784	761	6	4.83099
YAL038W	1483	1460	11320	4750.76
YAL039C	790	767	140	111.841
YAL040C	1723	1700	119	42.8911
YAL041W	2545	2522	101	24.5384
YAL042W	1228	1205	91	46.2726
YAL043C	2338	2315	120	31.7614
YAL044C	493	470	616	803.068
YAL044W-A	313	290	32	67.6117
YAL046C	337	314	20	39.0274
YAL047C	1849	1826	26	8.72453
YAL048C	1969	1946	58	18.2623
YAL049C	721	698	199	174.69
YAL051W	3124	3101	139	27.4652
YAL053W	2332	2309	496	131.622
YAL054C	2122	2099	1816	530.119
YAL055W	523	500	19	23.2838
YAL056W	2623	2600	86	20.2672
YAL058W	1489	1466	23	9.6131
YAL059W	619	596	20	20.5614
YAL060W	1129	1106	143	79.2229
YAL061W	1234	1211	1332	673.953
YAL062W	1354	1331	582.878	268.33
YAL063C	3949	3926	2.66301	0.415617
YAL063C-A	271	248	0	0
YAL064C-A	361	338	0	0
YAL064W	265	242	0	0
YAL064W-B	361	338	2.01933	3.66066
YAL065C	367	344	2.5908	4.61471
YAL067C	1762	1739	14	4.93285
YAL067W-A	208	185	0	0
YAL068C	343	320	0	0
YAR002C-A	640	617	164	162.865
YAR002W	1600	1577	85	33.0261
YAR003W	1261	1238	8	3.95949
YAR007C	1846	1823	223	74.9528
YAR008W	808	785	16	12.4888
YAR009C	3571	3548	0	0
YAR010C	1303	1280	0.115239	0.0551644
YAR014C	2110	2087	83	24.3683
YAR015W	901	878	171	119.336
YAR018C	1288	1265	18	8.7187
YAR019C	2905	2882	31	6.59079
YAR020C	148	125	0	0
YAR023C	520	497	0	0
YAR027W	688	665	101.776	93.7765
YAR028W	685	662	29.2239	27.0489
YAR029W	205	182	1	3.36665
YAR031W	877	854	0	0
YAR033W	685	662	0	0
YAR035C-A	61	38	0	0
YAR035W	2044	2021	2074	628.799
YAR042W	3547	3524	149	25.9072
YAR050W	4594	4571	9.47016	1.26945
YAR064W	280	257	0	0
YAR066W	592	569	0.5	0.538428
YAR068W	466	443	1.11196	1.53799
YAR071W	1384	1361	3.0822e-05	1.38762e-05
YBL001C	295	272	129	290.597
YBL002W	376	353	435.958	756.728
YBL003C	379	356	323.979	557.618
YBL004W	7462	7439	148	12.1904
YBL005W	2911	2888	29	6.15277
YBL005W-A	1303	1280	25.3942	12.1561
YBL005W-B	5248	5225	19.2982	2.26309
YBL006C	523	500	25	30.6365
YBL007C	3715	3692	409	67.8783
YBL008W	2503	2480	39	9.63568
YBL008W-A	220	197	0	0
YBL009W	2011	1988	40	12.3286
YBL010C	823	800	28	21.4456
YBL011W	2260	2237	49	13.4215
YBL013W	1186	1163	6	3.16112
YBL014C	2665	2642	7	1.62343
YBL015W	1561	1538	2342	933.04
YBL016W	1042	1019	12	7.21567
YBL017C	4720	4697	341.717	44.5774
YBL018C	382	359	21	35.8422
YBL019W	1543	1520	52	20.9618
YBL020W	1705	1682	38	13.8429
YBL021C	415	392	25	39.0772
YBL022C	3382	3359	299	54.542
YBL023C	2587	2564	87	20.7908
YBL024W	2035	2012	113	34.4128
YBL025W	418	395	15	23.2683
YBL026W	268	245	48	120.045
YBL027W	550	527	605.31	703.78
YBL028C	301	278	35	77.1423
YBL029C-A	265	242	99	250.663
YBL029W	1111	1088	178	100.245
YBL030C	937	914	4746	3181.64
YBL031W	997	974	2	1.25817
YBL032W	1126	1103	92	51.1072
YBL033C	1018	995	184	113.309
YBL034C	4522	4499	70	9.53348
YBL035C	2098	2075	67	19.7846
YBL036C	754	731	85	71.2477
YBL037W	3058	3035	111	22.4096
YBL038W	679	656	145	135.436
YBL039C	1720	1697	84	30.3296
YBL039W-B	160	137	14	62.6148
YBL040C	640	617	69	68.5226
YBL041W	706	683	261	234.147
YBL042C	1900	1877	18	5.87595
YBL043W	754	731	1856	1555.72
YBL044W	349	326	0	0
YBL045C	1354	1331	1347	620.096
YBL046W	1306	1283	58	27.6994
YBL047C	4126	4103	768	114.691
YBL049W	397	374	163	267.046
YBL050W	859	836	172	126.064
YBL051C	1987	1964	263	82.051
YBL052C	2476	2453	26	6.4945
YBL054W	1558	1535	29	11.576
YBL055C	1237	1214	42	21.1983
YBL056W	1387	1364	172	77.2652
YBL057C	607	584	37	38.8203
YBL058W	1252	1229	304	151.562
YBL059C-A	310	287	26	55.5087
YBL059W	562	539	12	13.6415
YBL060W	2044	2021	38	11.5209
YBL061C	2071	2048	71	21.2421
YBL063W	3316	3293	27	5.02391
YBL064C	766	743	933	769.418
YBL066C	3427	3404	87	15.6603
YBL067C	2224	2201	80	22.271
YBL068W	961	938	54	35.2745
YBL069W	1270	1247	60	29.4818
YBL071C-B	79	56	0	0
YBL071W-A	229	206	25	74.3605
YBL072C	583	560	837.225	916.06
YBL074C	1048	1025	4	2.39114
YBL075C	1930	1907	1606	516.018
YBL076C	3199	3176	569	109.774
YBL078C	334	311	459	904.32
YBL079W	4489	4466	116	15.9151
YBL080C	1606	1583	28	10.8379
YBL081W	1087	1064	19.3016	11.1153
YBL082C	1357	1334	23	10.5643
YBL084C	2257	2234	93.4956	25.6435
YBL085W	2923	2900	94	19.8609
YBL086C	1381	1358	53	23.9136
YBL087C	394	371	353.961	584.59
YBL088C	8344	8321	46	3.38729
YBL089W	1360	1337	21	9.62404
YBL090W	514	491	40	49.917
YBL091C	1246	1223	113	56.6137
YBL091C-A	508	485	27	34.1108
YBL092W	373	350	917	1605.35
YBL093C	643	620	57	56.3317
YBL095W	793	770	123	97.8778
YBL097W	2245	2222	30	8.27269
YBL098W	1363	1340	83	37.9527
YBL099W	1618	1595	4609	1770.58
YBL100W-A	1297	1274	0	0
YBL100W-B	5293	5270	11.0956	1.29006
YBL100W-C	100	77	0	0
YBL101C	3334	3311	293	54.2223
YBL102W	628	605	94	95.2011
YBL103C	1441	1418	102	44.0751
YBL104C	3097	3074	58	11.561
YBL105C	3436	3413	156	28.0064
YBL106C	3013	2990	5	1.02463
YBL107C	571	548	24	26.8349
YBL108C-A	109	86	1	7.12478
YBL111C	1984	1961	6.92575e-08	2.16401e-08
YBL112C	298	275	0	0
YBL113C	2359	2336	10.7701	2.82499
YBR001C	2323	2300	189.184	50.3996
YBR002C	841	818	22	16.4793
YBR003W	1402	1379	68	30.2144
YBR004C	1282	1259	23	11.1936
YBR005W	622	599	43	43.9857
YBR006W	1474	1451	426	179.892
YBR007C	2191	2168	59	16.6749
YBR008C	1627	1604	7	2.67401
YBR009C	292	269	562.047	1280.24
YBR010W	391	368	1233.7	2054.15
YBR011C	844	821	1494	1115.01
YBR012W-A	1303	1280	0.00299887	0.00143554
YBR012W-B	5251	5228	17.4369	2.04364
YBR013C	370	347	15	26.4869
YBR014C	592	569	112	120.608
YBR015C	1774	1751	201	70.3363
YBR016W	367	344	171	304.584
YBR017C	2737	2714	143	32.2846
YBR018C	1081	1058	0	0
YBR019C	2080	2057	2	0.595752
