label_0	pb_0	pb_1	pb_2	pb_3	pb_4	pb_5	pb_6	pb_7	pb_8	pb_9	pb_10	pb_11	pb_12	pb_13	pb_14	pb_15	pb_16	pb_17	pb_18	pb_19
0.0	4.0472391501940067e-47	3.942836152747977e-49	6.308835535615749e-35	1.2659113485133712e-35	2.4476625941263417e-30	1.047429581576397e-45	1.5520294202623007e-24	6.435563430457173e-35	4.398880793526802e-22	5.378113726899134e-30	7.30682730321107e-26	8.346356643162908e-23	1.1906122012875205e-19	1.3244255884248655e-31	2.7331381728497525e-21	7.610101155562565e-20	3.780977273602303e-33	2.905593901022082e-22	3.4530584977300214e-20	3.481400233325542e-28
0.0	1.6203755965149134e-44	2.9295809573849873e-46	1.5340735656562882e-32	4.309747861233217e-32	2.338909369993298e-29	2.694034636087664e-42	1.0259256832692565e-22	2.3265178115684023e-31	6.566387449227358e-20	4.9325123879951854e-27	2.669981766715953e-23	6.91954467154147e-21	4.553141245882606e-17	2.8271644365398475e-30	3.5666437777287074e-19	1.6622614224561372e-17	5.68321977776828e-32	4.2930893227648637e-19	4.896853011172129e-19	3.933245594907889e-26
0.0	1.4416480880856805e-44	2.5996241699194036e-46	1.382794707482922e-32	4.08237151645993e-32	2.2767081890734785e-29	2.5586446929918655e-42	9.356473201168501e-23	2.135392062981306e-31	6.194294319341847e-20	4.3211771176364484e-27	2.4016392845016177e-23	6.388264260841923e-21	4.2936055461924347e-17	2.696725608768942e-30	3.200713407201051e-19	1.5538060829460042e-17	5.511700121374809e-32	3.9347518812150996e-19	4.435508736459313e-19	3.43125495938151e-26
0.0	4.34647335094748e-06	1.2748518768044717e-09	9.205180191895153e-06	2.0048122991346796e-06	0.0002516319892457301	1.9473549664452006e-08	6.345970149690987e-05	4.646245317720828e-07	1.046851138440112e-05	3.0158116455394427e-07	2.5590541331378476e-06	1.0177618680934686e-06	3.2375856502307796e-06	7.206254912297784e-05	1.1628278030589041e-05	2.431386500960824e-05	0.000586501532082374	2.641404363811004e-06	6.30922766488893e-05	7.1105188701810855e-06
0.0	0.0017401786964924202	9.472323061585805e-07	0.002238356590494155	0.006825308524579075	0.0024045161242780095	5.008682035182825e-05	0.004194826255759846	0.0016796621780520527	0.0015626770761276547	0.0002765937846773698	0.0009351018700708136	8.43775195855458e-05	0.001238118066084185	0.0015382719713924158	0.0015174470831914142	0.005310836086158481	0.00881575546643327	0.0039027425227567453	0.0008947245031988844	0.0008033381728401256
1.0	0.001548236900210957	8.405461509472608e-07	0.0020176266093671342	0.006465214673560914	0.0023405701910196985	4.756968428147276e-05	0.0038256942082299026	0.0015416762621233773	0.0014741258889257641	0.0002423127686688093	0.0008411208698759295	7.789904081459607e-05	0.0011675435283689834	0.001467299660709693	0.0013617601102238063	0.004964327093634345	0.008549695836931263	0.003576986717207502	0.000810430360398536	0.0007008100620990345
0.0	6.3909702439972196e-06	2.437771883723293e-10	1.2975575192977946e-05	4.4402548842483105e-05	0.00021795009054684345	1.004323793836978e-07	0.00013614166315713435	9.017916487421894e-05	4.460616855369408e-06	5.78441066944181e-07	3.765559545749715e-06	1.0928240209042958e-06	1.2968901318778537e-05	2.165501318752194e-05	3.721854164260613e-07	1.8820317353055622e-06	0.001152545147907779	2.7160132523509688e-08	7.640946840524143e-08	5.0396198901183376e-05
0.0	4.2709701498140856e-48	2.076381090326856e-37	2.2844003338823532e-41	1.18723946807657e-28	1.8506600929787767e-45	1.5019556354523748e-68	3.6732914870221965e-24	3.978220107119512e-36	1.1152859115772366e-40	1.3291179872600542e-35	2.9072269336780015e-26	3.1980806150452065e-26	1.400155907285824e-32	9.731457588627275e-27	2.7817545555797675e-36	1.1091400062829334e-41	4.148058129981601e-43	5.487094883544029e-40	7.35123914138488e-20	4.739935254516578e-20
0.0	1.5213422588223726e-45	1.3690171894703849e-34	5.007036042755934e-39	3.828666670367265e-25	1.7214026961833793e-44	3.6689538689328535e-65	2.214458882654108e-22	1.3200180113728082e-32	1.5704924754248838e-38	1.0679123805919613e-32	9.555597967689612e-24	2.447796681815712e-24	5.049265548056261e-30	1.9814681262018533e-25	3.257646902023725e-34	2.2646065451330703e-39	6.046810346655933e-42	7.430617509155669e-37	9.442783971615081e-19	4.6716623367579485e-18
0.0	8.399909416583146e-07	2.459355454027424e-10	3.418151198265702e-06	3.9844595596482004e-07	8.198019301607098e-05	3.4433787362734268e-09	1.739535144431614e-05	1.7790449645801562e-07	2.683427568892497e-06	7.13648776049135e-08	6.466989634472782e-07	1.6905036240149413e-07	8.137694591408111e-07	1.5219571752744914e-05	3.0801424481663583e-06	4.980908188561309e-06	0.00016707723458927402	7.31756111120452e-07	1.3432440237497118e-05	1.932053112954181e-06
