label_0	pb_0	pb_1	pb_2	pb_3	pb_4	pb_5	pb_6	pb_7	pb_8	pb_9	pb_10	pb_11	pb_12	pb_13	pb_14	pb_15	pb_16	pb_17	pb_18	pb_19
0.0	8.920032573990566e-36	3.9901219222901323e-25	1.0871256496482594e-30	8.209176662228102e-28	2.905474234414134e-16	1.7716136302547086e-22	4.976458860140961e-36	1.5976724521019557e-14	1.0698950051630457e-17	4.533828716965524e-20	3.179028690328405e-27	1.1794353885672657e-24	1.0645078179608283e-27	5.039920713641338e-26	2.1335940574723675e-19	4.720954761436199e-21	3.8833697252060575e-15	2.336416068611507e-20	1.277913069016173e-32	5.693129319708283e-30
0.0	1.6147234248419238e-35	2.3120166169578002e-23	1.1522918612939737e-32	1.9831492197574826e-27	8.98441425840744e-17	1.2855595205676095e-22	1.6291348217737834e-34	2.150963229631805e-16	2.0561886013012042e-19	1.435418162919606e-19	8.8167801132352e-26	2.080250135800509e-23	6.406251301435351e-28	2.1234886568392434e-23	7.497880712608101e-20	1.1146712779952228e-21	3.3573175968149386e-14	3.6667157872085e-19	5.680464017036017e-29	8.913489582897759e-28
0.0	6.438681998491433e-32	3.8542450608867005e-20	4.911292111110217e-28	5.758266440438283e-24	2.2404455400367094e-13	4.399590699914737e-18	9.796526039202107e-32	1.5366651783158656e-12	1.9987455983295865e-16	4.100488256173807e-16	2.8668153884638536e-22	2.757258050506181e-20	6.589841386613347e-25	1.2395110886031094e-20	8.060856740632737e-17	3.0848896089100393e-19	3.925104267310942e-11	2.1477243177080722e-16	8.769425918777638e-27	7.483597668274607e-25
0.0	1.1101307872162995e-06	5.395019894796416e-08	4.0597206150872446e-05	1.9601018941829565e-06	6.223695095146382e-05	4.5771907584713806e-07	5.225685394509414e-08	0.00019086792659352614	0.00014256932964948547	2.3983016201539003e-06	6.506772961129206e-08	1.2834532470817938e-07	1.7759272529683937e-05	3.8834270184968175e-08	4.094674730283303e-06	3.242241871290883e-05	6.874112635167242e-07	2.1177695270545895e-06	1.1708624669495528e-08	6.716043911620362e-09
0.0	2.0095825568879366e-06	3.1260637866494385e-06	4.303074833535586e-07	4.73515761937456e-06	1.9245138810906945e-05	3.32140770228832e-07	1.7107236858758725e-06	2.5696749748586053e-06	2.7399831675609146e-06	7.593065200823272e-06	1.8046010915080574e-06	2.2637134830919445e-06	1.0687602367615387e-05	1.6362188399354813e-05	1.4389514526941676e-06	7.655302947961297e-06	5.9429261042895685e-06	3.323577107195172e-05	5.2046123274452376e-05	1.0515023299625247e-06
1.0	0.008013176024112882	0.005211301606285269	0.018340542178027712	0.013748990211217886	0.04799164884448099	0.01136690616328745	0.0010287146840502507	0.018357961675294906	0.002663437241211165	0.02169073478979085	0.005867740958411649	0.0030004287070471937	0.010993887234801198	0.009550846381727963	0.0015469946724263532	0.002118630396550453	0.0069479886664253485	0.019467359318664963	0.008034812315438787	0.0008828215158057841
0.0	1.478874488877109e-22	2.3915425802265706e-10	2.559959327022201e-20	7.820470862757177e-11	1.6301259199050918e-09	3.849393178413117e-09	1.2778080274825863e-09	6.296807172250621e-11	1.0346611838215968e-21	3.95213646481008e-33	1.809443720121853e-09	6.906837694780448e-15	1.2049106475268126e-09	8.659609427213529e-08	1.9775537996007214e-23	5.125196710750122e-20	2.734087755157651e-07	8.882161184201351e-08	1.0368929273430534e-07	4.452920991249004e-12
0.0	1.4827274844566947e-38	7.006832232940413e-22	2.5623202418191517e-37	1.2890343390392445e-18	1.9313066230206058e-18	1.2906256259559022e-19	6.083068153875115e-22	9.672631119294364e-24	3.816501579780355e-14	4.625095958178053e-22	6.10995812262289e-20	2.9998925998014646e-24	2.3098688723049017e-18	2.0048382971104815e-23	1.8520082556235032e-28	4.5895923269970666e-10	2.11481000225691e-20	3.335844217999048e-26	8.051600160460039e-15	2.096941358341864e-31
0.0	2.684065088271388e-38	4.0600043984359686e-20	2.715914909773591e-39	3.114011975730153e-18	5.972057351498722e-19	9.365338088404752e-20	1.991403612732854e-20	1.3022365031093848e-25	7.334782392031543e-16	1.4643135323511429e-21	1.6945476910016939e-18	5.291113908074861e-23	1.3900884727830907e-18	8.447060230904216e-21	6.508331297042072e-29	1.0836551085811563e-10	1.8283319222510123e-19	5.2351945452396855e-25	3.579024747455319e-11	3.2830915835380116e-29
0.0	1.0702663565015253e-34	6.768226398147782e-17	1.1575757773589523e-34	9.04183632594357e-15	1.4892533751421757e-15	3.2051144809779186e-15	1.1974967992801003e-17	9.303280784593208e-22	7.129873208858832e-13	4.183032232607005e-18	5.509897416809894e-15	7.013082786590276e-20	1.429925570816697e-15	4.930671415918349e-18	6.997007316722685e-26	2.999051334772632e-08	2.1375378477438226e-16	3.066437456638518e-22	5.5252515094106855e-09	2.756421746028406e-26
0.0	1.6433056742106644e-07	1.038178098100115e-08	6.140754490908578e-06	2.194014465194699e-07	1.01670834813124e-05	8.123878140871769e-08	8.373428947838855e-09	2.4078805674243733e-05	2.288338055979729e-05	5.074089976923608e-07	1.0932935785380197e-08	2.1659012178007957e-08	2.381303496518469e-06	6.382157618875315e-09	6.511987379512286e-07	1.1098924473399107e-05	9.984706356488521e-08	3.232129936708029e-07	2.7778142785705777e-09	1.722637021623731e-09
0.0	2.974747170835182e-07	6.015568097707311e-07	6.50885334585545e-08	5.300236861520508e-07	3.1439029372201926e-06	5.895037557611971e-08	2.7411951067925715e-07	3.2417549386050685e-07	4.3978657755414014e-07	1.6064658300632117e-06	3.032161713578626e-07	3.8201467805149107e-07	1.4330781198870724e-06	2.6890183556181996e-06	2.2884439709883783e-07	2.620582689797374e-06	8.632150096882719e-07	5.072427819878631e-06	1.2347689712240783e-05	2.697059259518802e-07
0.0	0.0011861753390240727	0.0010028246968018777	0.002774199936982647	0.0015389752693344778	0.007839958300466677	0.0020174680362264517	0.00016483712018989496	0.0023159354200771726	0.0004275004177800147	0.00458911168904282	0.0009859209086715503	0.0005063396119254047	0.0014741472134516412	0.0015696189657105261	0.0002460271070741717	0.0007252549221134669	0.0010092011912571693	0.0029710992645181587	0.0019062201586842928	0.00022644000644214207
0.0	2.1891500235851368e-23	4.6021093079931145e-11	3.8722077759572756e-21	8.75374196027452e-12	2.662988154039119e-10	6.832138477045899e-10	2.0475083973378067e-10	7.943691691674142e-12	1.6607040012076974e-22	8.361540456383583e-34	3.0402984885949587e-10	1.165568610176577e-15	1.6156393417309563e-10	1.4231500172177324e-08	3.1450130312098006e-24	1.754470315975549e-20	3.971285435222705e-08	1.3555912812689658e-08	2.4599780591023742e-08	1.1421555092304734e-12
0.0	4.142954910528878e-34	2.7411072334599493e-23	2.1744810985002275e-29	2.23611934372117e-26	2.0565665890372975e-15	5.557979171342001e-21	1.7527331626330563e-33	3.2014720258334074e-13	1.3863957668543666e-15	6.951045171970038e-19	1.9673099233782404e-25	1.341157014664603e-22	3.490368989611264e-26	1.8163309278610778e-24	4.9446368605070957e-17	6.462595413415093e-19	2.0324900826837714e-13	4.0958070458904666e-19	5.3327174997072795e-31	2.176577206561836e-27
0.0	7.499665821401889e-34	1.5882936902803255e-21	2.3048272967803585e-31	5.401952612604199e-26	6.359390824072065e-16	4.0331102204310275e-21	5.737892563312223e-32	4.310175467570157e-15	2.6644588103893043e-17	2.2007131530541018e-18	5.456175674595675e-24	2.365489529083033e-21	2.1005182399712128e-26	7.652815076911493e-22	1.7376453228018698e-17	1.5258925053638905e-19	1.7571632893090028e-12	6.427862125366835e-18	2.3704515279295656e-27	3.407774032095188e-25
0.0	2.9904789003534177e-30	2.6477634572780367e-18	9.823622382820031e-27	1.5685094259220971e-22	1.5858428161646452e-12	1.380257695863428e-16	3.45038440989372e-29	3.079223513541938e-11	2.5900227808995547e-14	6.286668702136934e-15	1.7740998624443937e-20	3.1353273028113086e-18	2.160714804927671e-23	4.467059014565275e-19	1.868115878341865e-14	4.222957949160457e-17	2.054333236680402e-09	3.765024779309425e-15	3.6594720089571483e-25	2.8611027772473704e-22
0.0	5.519088738285346e-50	1.2150974034608017e-25	1.3711739543977217e-44	8.921733214542157e-31	5.386611091238965e-20	4.674231037526438e-23	4.285861731363764e-35	1.0561780794611136e-19	1.0061419864324733e-32	1.1454555532894935e-45	5.470817266340298e-27	7.217367554732887e-30	2.36810531081752e-30	4.050215531521313e-24	2.3880493702768476e-34	1.0215793290756666e-33	8.083961585261197e-14	1.7178270768483328e-20	4.722550440420971e-30	1.4431302802239854e-30
0.0	5.156059418031379e-05	3.706234633000654e-06	0.0008120299383567242	5.339173392886132e-05	0.0004405285457853751	1.4359751169438369e-05	1.8405119676171666e-05	0.0038246783739312035	0.018474477790387425	3.676959130660828e-05	4.026650987624903e-06	1.4594375766601332e-05	0.0005823011636908895	1.3995435643849377e-06	0.0009489471313550473	0.004438360142263348	3.597794376245556e-05	3.712513137969096e-05	4.885996488054776e-07	2.56765432074364e-06
0.0	9.333609326100752e-05	0.0002147522362655998	8.607059261257023e-06	0.0001289822108101431	0.00013622185669761054	1.0420056898184555e-05	0.0006025252535196456	5.14920473008757e-05	0.0003550536310971719	0.00011641317416146563	0.00011167592308505616	0.00025741089732160836	0.00035043120630790306	0.0005896749279566686	0.00033347919997025815	0.0010479474644393126	0.0003110427083645796	0.0005826329786072772	0.0021718791293939177	0.00040200667778970565
1.0	0.37217607315506607	0.35800250736527145	0.3668496122345278	0.3745123808749019	0.33969677100327705	0.3566072569054886	0.3623183456943923	0.367863266825783	0.34513462523686633	0.3325517719115995	0.36311924615262664	0.3411840993126078	0.3604738493432584	0.3442017971320218	0.3585183813902013	0.2900229249242674	0.3636459842452787	0.34126861449662277	0.33529185419780594	0.3375172213484339
0.0	6.868708465947121e-21	1.6429259038841656e-08	5.120459784331491e-19	2.1302387429036873e-09	1.1538434803833335e-08	1.2076474657089924e-07	4.500502401790251e-07	1.261776278830217e-09	1.3407389308824614e-19	6.059222967530066e-32	1.1197560428504488e-07	7.853888320883121e-13	3.950729800591081e-08	3.120826163648376e-06	4.5830111763274e-21	7.015969105721233e-18	1.4309753231776559e-05	1.5570693443572563e-06	4.326943039421276e-06	1.7024251141848199e-09
0.0	6.886603901669217e-37	4.813506677592868e-20	5.1251821129811476e-36	3.5112347301637297e-17	1.3670266378705384e-17	4.049003814692835e-18	2.142486371032106e-19	1.9382357068174833e-22	4.9455148485286456e-12	7.090971657065396e-21	3.781086116847788e-18	3.4112313760159043e-22	7.573729892755044e-17	7.225212481112942e-22	4.292057458000309e-26	6.282771138623025e-08	1.1068558135085989e-18	5.847834397147066e-25	3.35992409165884e-13	8.016952554131662e-29
0.0	1.2466278060527667e-36	2.7891146288694337e-18	5.432403916096009e-38	8.482339584125385e-17	4.227170033529278e-18	2.9381323974373477e-18	7.013820972540492e-18	2.6094671221493703e-24	9.504588029701838e-14	2.2450141248635983e-20	1.0486537911052797e-16	6.016619987826769e-21	4.5579014229435396e-17	3.0442258159675693e-19	1.5083157322752808e-26	1.4834339425675618e-08	9.569180281004946e-18	9.177452164050077e-24	1.4935231797366403e-09	1.2551800436091268e-26
0.0	4.970907023558292e-33	4.649590839321856e-15	2.3153962458370528e-33	2.462929711847068e-13	1.054130405856449e-14	1.0055217019571452e-13	4.217642326065005e-15	1.864223992919418e-20	9.239061765190545e-11	6.413221102917794e-17	3.409744585779914e-13	7.974701509579731e-18	4.68852157365222e-14	1.776958705642525e-16	1.6215671472431864e-23	4.105452473092911e-06	1.1187511837209905e-14	5.375556310116636e-21	2.305681515347704e-07	1.0538254810597243e-23
0.0	9.174074750884153e-53	2.133765288015245e-22	3.231812973546583e-51	1.400922522499403e-21	3.5805506560424865e-22	3.405190756972639e-20	5.238903755196046e-21	6.394315020874e-29	3.589083472838252e-29	1.1685138942208785e-47	1.0514678428525983e-19	1.8357366352888227e-29	5.138536938390604e-21	1.6111418553009113e-21	2.072881264877862e-43	9.931534799791474e-23	4.402373203716498e-19	2.452646854647e-26	2.9754831377652196e-12	5.315459038671953e-32
0.0	7.632417545562053e-06	7.13200636407772e-07	0.00012282807029096777	5.976334031888561e-06	7.196513377388899e-05	2.5486564748880477e-06	2.949162650450037e-06	0.0004824995428828408	0.0029652836760917186	7.779347398867456e-06	6.765737323375257e-07	2.4628849019468612e-06	7.807953815710529e-05	2.3000580620785435e-07	0.00015091630349795584	0.0015193506826531966	5.225826558916102e-06	5.6660201690315836e-06	1.1591789123554705e-07	6.585925360005532e-07
0.0	1.381636591208101e-05	4.1325346811789676e-05	1.3019082548601377e-06	1.4437455374645526e-05	2.2253323272601713e-05	1.8494154368622407e-06	9.654623305349186e-05	6.495942104338875e-06	5.698860603125366e-05	2.4629550980191147e-05	1.876422772326284e-05	4.3439570335088194e-05	4.6988583314738164e-05	9.690920715629042e-05	5.303503903436854e-05	0.00035873602962480637	4.517921471724132e-05	8.892117240392203e-05	0.0005152677643410871	0.00010311302237055044
0.0	0.05509252241844171	0.06889137935710522	0.055489862909416855	0.0419205544095732	0.0554931656567813	0.06329283729084163	0.05805644035437243	0.04640752521744465	0.05539653579823598	0.0703580232980267	0.061012723578008056	0.05757678028986653	0.04833518019444741	0.056567307986826	0.057017158351296726	0.09928138205207723	0.05281988473435921	0.05208425616112692	0.07954636230723063	0.08657174797865581
0.0	1.0167619641369767e-21	3.161526228770726e-09	7.745234068397743e-20	2.3844549255930716e-10	1.884928938529473e-09	2.143406592874649e-08	7.211424769383119e-08	1.5917847678528493e-10	2.1519803215845333e-20	1.2819506216034953e-32	1.8814581336876453e-08	1.325388853653203e-13	5.2974504852168364e-09	5.128873127432569e-07	7.288615801319802e-22	2.4017243100095244e-18	2.0785036794734664e-06	2.3763919430963037e-07	1.0265461996386514e-06	4.3666488290265255e-10
0.0	4.9256499016857666e-36	7.769058090178526e-25	6.851651389279471e-32	6.288056399414517e-28	7.8649560188061e-17	6.918505850876594e-23	6.349087836742577e-35	1.780940935972163e-15	9.178139783499922e-17	5.062617645009378e-20	4.539908960733119e-27	1.2383673440475372e-23	2.9083917391090018e-28	8.159529034256697e-26	3.5200134042340847e-19	8.675545680646232e-20	8.448117284114502e-15	4.6752567402610674e-20	1.363854993164743e-32	2.9837580094200997e-30
0.0	8.916517078663685e-36	4.501664799328674e-23	7.262363954750528e-34	1.519050527888791e-27	2.432030618621451e-17	5.020367258869184e-23	2.0784900211241228e-33	2.397699517433823e-17	1.763910132574706e-18	1.6028336695585415e-19	1.259107197197247e-25	2.1841924200317344e-22	1.750281965936344e-28	3.4378849061052113e-23	1.2370038489418946e-19	2.048395309810164e-20	7.30371167952829e-14	7.337236688735798e-19	6.062485313724557e-29	4.671542563206096e-28
0.0	3.555445912308704e-32	7.504495941473942e-20	3.0953608193434866e-29	4.4107107972146205e-24	6.064760590958103e-14	1.718128235130258e-18	1.249864734460363e-30	1.7129355377850904e-13	1.7146324082827644e-15	4.578735875305262e-16	4.094043224727939e-22	2.895027876861344e-19	1.8004414742184757e-25	2.0067432188695994e-20	1.3298838960140578e-16	5.66900173254533e-18	8.538909130230103e-11	4.297677424618373e-16	9.359185391007083e-27	3.9221389903604182e-25
0.0	6.130152056680251e-07	1.0504496799006442e-07	2.5586545953955554e-06	1.5013967619837273e-06	1.684719403738081e-05	1.787484613025335e-07	6.667057140302223e-07	2.127623239590339e-05	0.0012230370550832179	2.6780200263877793e-06	9.292195745687047e-08	1.3475825841791946e-06	4.852094145899368e-06	6.287189285354412e-08	6.755413423700221e-06	0.0005958162889392076	1.495436022719283e-06	4.237736757890685e-06	1.2496050479300064e-08	3.519865558567912e-09
0.0	1.1096932709222375e-06	6.086673947582937e-06	2.7120295313523944e-08	3.627030991761263e-06	5.209551285321309e-06	1.297076192517469e-07	2.1825830879498662e-05	2.864441549860861e-07	2.350506208081467e-05	8.478658605154093e-06	2.5771156739827724e-06	2.3768227415547758e-05	2.9200099719698238e-06	2.6490049922244604e-05	2.373988802502648e-06	0.00014067902316441535	1.2928600749494666e-05	6.650603238414582e-05	5.5546317526416394e-05	5.510903270875185e-07
1.0	0.00442488291023186	0.010146783906150258	0.0011559197534790984	0.010531436883424436	0.012991070544046312	0.004439004388657971	0.013124593353509456	0.0020463797448298494	0.02284840959762224	0.02422056578121249	0.008379606587822922	0.03150348857569558	0.0030036914971317266	0.0154626258588759	0.002552239009172446	0.038933384695445564	0.01511507461204844	0.038954920783334956	0.008575167717776954	0.00046268504029149205
0.0	8.166358048941841e-23	4.656507643819468e-10	1.6134242518485053e-21	5.990315944991247e-11	4.412659562873258e-10	1.503265089654261e-09	1.630258710659151e-08	7.019111861276949e-12	8.875884949317005e-21	4.413081536883446e-33	2.584031337595421e-09	7.251946426877008e-14	3.291992895218378e-10	1.4019731373039984e-07	3.2625774606980226e-23	9.418408019839569e-19	5.947899802254224e-07	1.7773539782749775e-07	1.1066258187834004e-07	2.333767235351489e-12
0.0	8.187634324718137e-39	1.3642812852847748e-21	1.614912227516606e-38	9.873731505810733e-19	5.227938857268466e-19	5.040151414495157e-20	7.760927018846213e-21	1.0782175467972747e-24	3.2740021043311876e-13	5.164529555365604e-22	8.725512202827702e-20	3.149785963058822e-23	6.310901088078067e-19	3.245792389151237e-23	3.055451838045505e-28	8.434145188947624e-09	4.600685537799729e-20	6.67515019014973e-26	8.593084575200079e-15	1.0990028896019172e-31
0.0	1.4821431231890189e-38	7.905124362647455e-20	1.7117158601432918e-40	2.38526757767798e-18	1.6166024759395683e-19	3.6573519899341705e-20	2.5406813983566723e-19	1.4516156260023835e-26	6.2921742554878386e-15	1.635099160002801e-21	2.4199505560214172e-18	5.555490992478348e-22	3.7979259171789007e-19	1.3675618551225267e-20	1.0737475258965012e-28	1.991397899712437e-09	3.9774638024319126e-19	1.0475821885078638e-24	3.8197205199842445e-11	1.7206619168354333e-29
0.0	5.910020316574797e-35	1.3178229908451043e-16	7.295666039803127e-36	6.9258561620936755e-15	4.0313254743811444e-16	1.2516613617488887e-15	1.5277956829391114e-16	1.037045707731084e-22	6.1163920416251375e-12	4.670907110185887e-18	7.868577195102817e-15	7.3635001867844825e-19	3.9067667212351463e-16	7.982656645306182e-18	1.1543695230181714e-25	5.511259515968708e-07	4.650129066970385e-16	6.136057092030751e-22	5.896834489220977e-09	1.4446352788054036e-26
