	young	middle	old
F57B1.9a.1	7.194	6.208	1.782
F10A3.17.1	38.292	49.566	47.136
Y94H6A.12a.1	39.569	20.315	15.066
Y49F6B.9a.1	9.203	14.013	9.626
F20E11.17.1	29.919	9.521	48.825
Y34F4.1b.1	38.471	35.251	25.96
T20B5.3b.1	7.116	13.387	10.038
F41D9.2b.1	30.748	7.671	5.073
W01A8.1c.1	415.034	404.973	400.195
F23B12.4a.1	9.474	8.136	3.886
R02D5.8.1	11.382	13.36	7.813
C53A5.17.1	17.833	14.904	12.673
T12B5.15.1	111.321	303.618	201.27
Y105E8A.17b.1	44.609	42.533	43.905
E01A2.1b.1	77.661	103.148	93.181
Y73B6BL.5d.1	17.921	26.467	24.118
M03F8.3b.1	55.095	55.282	62.511
T13B5.8b.1	41.747	48.309	44.624
Y62F5A.12.1	24.991	43.693	41.532
F25D7.4.1	117.633	107.62	102.566
F20D6.4d.1	170.554	181.685	361.595
F27D4.8.1	71.449	65.85	63.084
Y61A9LA.11b.1	33.092	24.888	17.602
F41E6.5b.1	8.265	17.146	10.806
DC2.8.1	31.419	25.515	34.35
D1086.10c.1	457.147	605.117	611.869
E01A2.10.1	8.695	9.468	5.255
Y71G12A.2b.1	6.43	11.1	10.718
T04D1.3d.1	84.962	73.525	59.581
Y53H1A.2b.1	32.169	22.192	13.525
C47G2.5c.1	49.963	32.699	48.217
R06C7.7b.1	58.536	51.575	54.977
F39H11.2b.1	34.362	27.017	30.144
Y39F10B.1a.1	23.961	37.814	27.133
Y75B8A.18a.1	44.137	35.195	45.365
T07G12.6b.1	11.011	11.237	7.162
C26H9A.1b.1	21.241	17.017	14.482
F25B5.7a.1	60.591	40.721	63.397
E02H4.7.1	20.379	16.334	20.978
ZC518.3d.1	50.13	37.463	55.695
Y105E8A.20b.1	11.736	10.599	8.975
F12A10.1.1	104.167	490.068	184.31
F52B5.1c.1	28.698	18.096	33.747
F59C6.16.1	128.291	403.804	179.248
D2005.7.1	93.132	91.783	79.97
ZK858.6a.1	122.778	101.667	154.517
ZK355.8.1	34.515	43.391	34.061
Y46G5A.19b.1	26.322	12.659	10.842
T03D8.6b.1	5.273	13.656	8.737
W06G6.20.1	26.28	8.809	6.796
F52C12.6a.1	24.303	21.835	24.968
Y40B1A.3b.1	18.4	8.612	12.808
F46G10.5b.1	17.071	28.95	25.03
W02H3.1a.1	10.512	9.755	15.475
W09D6.1c.1	8.943	4.101	3.006
Y43F8B.1d.1	28.442	22.3	8.36
Y51H1A.6a.1	22.435	15.867	25.784
Y48C3A.8a.1	43.228	15.741	28.897
M03A8.3.1	9.983	3.097	2.55
F08B4.1b.1	19.589	17.473	15.391
K02B9.4b.1	12.438	14.049	17.664
F25H5.3e.1	298.709	328.914	218.903
F58G1.2b.1	20.786	12.641	15.805
Y53C12A.10.1	20.664	45.956	24.755
Y41E3.11a.1	8.158	7.641	10.913
R10E11.2.1	901.782	819.226	739.279
Y38F2AL.4.1	256.431	225.571	224.527
T03F6.10.1	77.245	4.277	5.604
Y55F3BL.1.1	30.512	33.223	32.007
W10D9.6a.1	24.776	26.126	37.064
F40G9.5.1	8.512	5.236	5.126
F40G9.1.1	37.639	26.494	25.783
F40G9.17.1	57.234	53.636	60.151
Y54G11A.17.1	148.203	114.046	80.526
R74.4b.1	66.846	77.669	78.854
D1046.1b.1	50.754	44.682	71.817
Y32H12A.2b.1	25.332	36.113	27.567
Y73B6BL.18b.1	28.71	33.404	27.559
F23D12.11.1	672.401	1540.032	467.016
K02B12.8b.1	18.687	23.792	28.504
R10D12.14c.1	585.814	430.818	375.768
W02D9.2b.1	49.914	58.76	62.688
D1086.11b.1	163.553	159.505	215.404
H06I04.6b.1	16.17	17.851	20.2
Y82E9BL.18.1	8.444	4.602	2.663
F19B10.13.1	36.843	36.533	56.685
F53A3.4b.1	9.901	10.089	10.816
ZK1058.9a.1	37.248	30.124	8.749
Y116A8C.10b.1	13.795	5.585	9.337
Y17G9B.7a.1	6.296	3.423	5.755
Y71H2AM.19.1	164.116	162.17	145.744
F44G4.4c.1	42.008	24.643	31.128
H04D03.2a.1	6.827	8.097	6.778
Y81G3A.3b.1	8.851	9.182	7.054
Y111B2A.4a.1	4.609	6.136	3.579
