	young	middle	old
F38C2.5.1	14.77	5.081	13.922
F38C2.7.1	28.467	10.971	22.257
F39B2.1.1	67.786	51.842	107.119
F39B2.2.1	344.48	312.296	260.483
F39B2.3.1	52.514	46.764	34.254
F39B2.5.1	18.991	12.731	10.919
F39B2.6.1	2993.581	2922.343	3602.003
F39B2.10.1	268.492	157.763	140.753
F39B2.11.1	30.433	49.907	51.09
F44G3.2.1	6.476	13.015	8.393
F45H10.2.1	640.583	612.044	500.252
F47H4.1a.1	104.575	120.988	135.672
F49B2.2.1	13.15	6.377	4.978
F53A2.3.1	10.155	8.066	10.09
F53A2.5.1	45.018	119.021	75.69
F53A2.6b.1	277.261	222.273	197.057
F53A2.7.1	241.59	385.216	342.16
F54F11.2a.1	72.319	46.478	38.252
F56A8.6.1	69.632	87.175	91.586
F57C2.1.1	17.795	9.607	13.01
F57C2.2.1	24.643	30.939	19.269
F57C2.3.1	37.915	45.263	28.416
F57C2.4.1	441.019	759.002	715.28
H02I12.1.1	548.31	424.586	354.129
H02I12.5.1	81.097	66.421	35.731
H04D03.1.1	16.878	4.8	14.193
H19N07.1a.1	233.514	221.941	171.853
H19N07.3a.1	43.791	55.818	52.806
H40L08.1.1	17.872	30.527	42.303
K10C3.4a.1	12.395	18.476	42.281
K10C3.6c.1	69.171	81.86	77.379
K10H10.1.1	11.351	31.172	22.449
K10H10.2.1	85.981	61.422	28.934
K11B4.2.1	24.732	10.694	17.256
K11D2.2.1	87.21	146.381	260.043
M01E5.2.1	7.166	7.628	6.846
R05A10.2.1	23.115	20.626	12.819
R05D7.4.1	32.482	22.918	16.821
R09B3.2.1	1852.147	1543.748	1096.314
R09B3.3.1	4320.491	3348.682	3211.877
R11A5.2.1	25.209	35.503	47.549
R11A5.1a.1	16.049	12.328	16.938
R11H6.2.1	48.789	29.73	46.166
R74.8a.1	19.435	21.273	20.896
T01G1.2.1	28.073	15.781	15.093
T02D1.5.1	5.33	8.663	15.865
T03E6.7a.1	1067.646	1314.469	1270.713
T05D4.2.1	36.96	20.125	45.583
T05D4.4a.1	10.457	6.898	8.531
T05E12.6a.1	86.985	54.93	25.603
T06E6.1.1	15.635	12.51	11.595
T06E6.10.1	12.651	25.41	7.929
T10C6.5.1	130.132	122.962	131.998
T10C6.7.1	7.672	6.137	3.122
T12D8.2.1	95.678	52.567	53.971
T12D8.5a.1	162.569	146.413	394.41
T12D8.7.1	75.328	23.344	36.233
T25C8.2.1	363.09	231.077	292.107
T25E12.4a.1	12.96	10.54	7.39
T25E12.5.1	360.899	334.203	277.335
T25E12.6.1	34.869	15.497	26.07
T27E9.2.1	729.119	672.222	563.781
T27E9.1.1	3216.762	2759.262	2216.922
T27F6.4.1	145.012	85.036	98.502
T27F6.5a.1	18.158	23.44	15.168
T27F6.6.1	25.257	16.821	12.895
T27F6.7.1	30.115	28.309	37.319
T27F6.8.1	13.896	7.526	15.369
VF36H2L.1.1	40.577	25.223	27.149
W09H1.5.1	60.454	78.743	70.058
Y37A1A.2.1	8.283	20.01	11.92
Y39E4A.2b.1	19.155	28.293	25.941
Y39E4A.3a.1	78.6	108.114	91.558
Y43E12A.1.1	67.087	81.487	61.18
Y43F4B.4.1	95.254	70.618	88.159
Y43F4B.5a.1	103.959	110.019	108.527
Y43F4B.6.1	25.174	23.745	26.467
Y43F4B.7.1	24.932	36.125	31.432
Y45F10C.2.1	477.831	1791.387	1303.101
Y45F10C.4.1	128.324	391.941	299.806
Y45F10D.12.1	2719.839	2181.427	2525.501
Y45F10D.4.1	143.029	282.32	236.706
Y48E1B.7.1	43.151	27.085	42.175
Y48E1B.8.1	22.657	8.894	1.594
Y48E1B.12.1	122.639	159.473	119.588
M142.6a.1	21.717	21.458	21.876
ZK1053.4.1	33.085	18.36	40.49
ZK228.3.1	14.054	30.068	10.704
ZK525.2.1	44.402	53.792	45.289
F37C4.6a.1	7.428	16.919	7.834
T22B11.5a.1	128.376	93.787	94.686
F56C11.1.1	3.839	6.223	5.15
K07H8.3.1	128.824	129.26	123.797
Y54G11A.6.1	69.223	132.396	183.02
Y46H3A.6a.1	31.113	30.359	21.833
F17E9.11.1	7.855	6.114	5.285
F17E9.4.1	264.609	242.081	420.569
F17E9.2.1	13.769	50.559	63.197
F55C7.7a.1	4.744	5.826	6.05
Y56A3A.27.1	16.493	8.49	10.316
F23B12.9.1	19.875	6.087	9.587
R119.4.1	518.803	386.324	423.747
R119.3.1	27.803	28.922	22.494
R119.2.1	20.879	20.067	22.593
R119.7a.1	130.698	129.558	122.521
B0205.3.1	365.077	370.485	298.343
F37F2.2.1	144.445	99.757	64.981
C35E7.8.1	10.907	11.215	9.45
R12E2.9.1	15.343	18.516	24.034
R12E2.5.1	21.303	17.952	20.713
R12E2.4a.1	17.754	13.973	9.727
R12E2.10.1	95.383	61.905	30.909
R12E2.11.1	184.19	184.398	140.755
R12E2.12.1	64.196	72.835	53.27
R12E2.3.1	360.502	287.511	234.022
R12E2.13.1	80.875	74.444	97.382
R12E2.2.1	24.776	14.86	22.677
R12E2.1.1	4.276	4.091	7.06
B0511.10.1	160.812	183.195	190.119
T04D1.4.1	7.504	9.056	10.271
K03E5.2a.1	49.784	38.899	17.829
T26C12.1.1	66.701	70.556	75.25
M01B12.3.1	136.512	162.014	132.871
ZK6.8.1	5.519	4.51	11.424
ZK6.7a.1	166.767	295.649	277.494
ZK6.10a.1	345.425	582.287	791.574
F59B1.2.1	298.073	422.844	485.737
F59B1.8.1	15.086	20.825	21.715
K10C9.3.1	98.949	68.54	147.642
W02G9.3.1	19.893	32.588	25.242
W02G9.4a.1	16.906	37.651	37.011
T27C4.1.1	16.588	8.434	4.581
T27C4.4a.1	50.439	37.358	53.582
R09A1.1a.1	52.138	58.959	102.477
T09H2.1.1	9.425	13.555	14.294
B0348.6b.1	686.521	564.199	517.93
F26D11.11b.1	18.509	11.125	21.748
H14N18.3.1	164.645	219.371	149.334
H14N18.1a.1	10.474	17.178	11.35
C08F11.11.1	3598.369	7608.64	8147.084
C37A5.9.1	3.468	3.483	2.029
C47B2.5.1	145.0	143.308	220.223
D1025.2.1	35.426	15.983	12.781
D1086.7.1	49.913	123.278	78.169
D2013.10.1	16.072	20.326	18.19
F02H6.3a.1	28.936	15.253	14.48
F07A5.1b.1	151.419	207.342	171.048
F08A8.2.1	3.881	14.995	8.123
F08A8.1a.1	20.195	21.545	19.097
F09B12.2.1	36.758	19.686	28.026
F09B12.3.1	30.568	36.505	13.243
F13G11.1b.1	20.262	18.908	38.985
F15D3.6.1	37.715	53.799	69.233
F23B2.6.1	191.785	153.98	219.85
F28D9.1.1	53.701	37.059	44.571
F31B9.3.1	40.321	24.956	24.454
F31C3.3.1	6.351	6.465	7.398
F31C3.4.1	22.337	37.417	33.662
F31C3.5.1	50.76	67.483	50.297
F32A11.1.1	62.527	54.905	51.504
F32B4.4a.1	12.825	9.415	12.138
F33A8.3.1	143.286	84.805	90.613
F33A8.4.1	34.081	29.838	26.299
F33A8.5.1	357.689	266.614	299.394
F33H2.6.1	57.316	77.923	68.514
F33H2.1.1	7.486	15.064	11.667
F33H2.5.1	27.513	24.974	24.438
F33H2.2.1	11.369	15.467	13.513
F33H2.3.1	226.988	150.339	267.225
F36F2.1a.1	30.459	12.557	9.84
F36F2.3a.1	24.098	18.922	24.253
F36F2.4.1	63.853	74.974	73.765
F39H2.4.1	38.182	38.857	29.834
F45G2.3.1	22.716	31.91	22.851
F45G2.4.1	141.527	143.823	131.792
F45G2.8.1	30.764	30.31	29.158
F52G2.1b.1	18.217	12.868	23.107
F52G2.3.1	9.955	6.095	6.43
F53F8.5.1	27.565	29.437	41.935
F53F8.3.1	45.66	25.124	18.279
F53F8.4.1	10.664	22.985	12.436
F54B3.1a.1	5.726	6.778	8.359
F57C2.5a.1	69.053	62.08	60.405
F58G1.1.1	66.721	57.163	62.098
F58G1.4.1	121.477	53.943	52.743
JC8.8.1	1473.526	3463.933	4993.568
JC8.7a.1	33.103	46.103	38.868
K04B12.3a.1	17.413	22.649	20.354
M01G12.9.1	9.052	10.83	16.262
R05H10.2.1	31.484	21.686	16.886
R05H10.5a.1	248.04	281.514	264.111
R06A4.2.1	17.652	15.325	17.861
R06A4.6.1	12.257	2.699	5.74
R06A4.8.1	28.752	23.505	18.515
R06C1.2.1	39.143	40.008	36.728
R06C1.4.1	316.905	335.521	349.655
R11.4.1	117.161	81.938	117.687
R11.1.1	24.684	21.388	20.708
R11H6.5.1	46.695	43.389	45.243
T03F6.2.1	23.363	15.7	18.7
T10H4.11.1	5.331	20.594	12.299
VF39H2L.1.1	35.527	34.593	33.909
W01D2.1.1	3672.174	3385.769	3879.618
W01D2.2a.1	8.451	4.811	11.968
W01F3.2.1	54.111	121.357	130.08
Y22F5A.1a.1	5.261	3.028	5.172
Y22F5A.4.1	422.306	1341.979	1026.711
Y22F5A.5.1	289.016	911.562	608.769
Y26E6A.1.1	20.527	26.106	32.672
Y41E3.4a.1	174.223	150.756	125.329
Y41E3.2.1	12.569	5.531	1.889
Y41E3.1a.1	30.117	23.324	24.526
Y41E3.8a.1	87.568	55.698	75.384
Y44A6C.2.1	17.308	5.828	8.019
Y45F10A.3a.1	12.096	9.859	9.191
Y45F10A.4.1	8.906	11.296	10.387
Y45F10D.7.1	23.646	15.015	17.703
Y45F10D.9.1	25.914	33.679	38.421
Y45F10D.11a.1	11.824	14.922	12.797
Y48E1C.2a.1	17.922	14.733	17.883
Y53C12B.3b.1	106.979	77.239	78.839
ZK550.3.1	29.8	33.709	29.468
ZK550.6.1	49.922	85.993	73.211
ZK795.3.1	56.907	45.206	36.956
F56D2.7.1	14.302	24.081	24.882
C45G7.3.1	241.248	55.551	858.821
C45G7.2.1	89.909	20.06	238.288
F55A8.2a.1	41.891	36.165	32.095
F29C4.6.1	25.923	26.555	22.227
F29C4.2.1	657.984	726.777	642.598
F56H1.4.1	335.221	300.641	291.749
F56H1.5.1	6.817	8.502	10.495
C24G6.8.1	66.107	39.008	55.509
F36F12.8.1	19.771	26.161	31.3
T10B5.6.1	50.154	54.604	62.751
T10B5.3a.1	41.147	37.093	28.072
T10B5.7a.1	23.037	34.469	21.166
T10B5.8.1	5.689	22.876	4.12
T10H9.3.1	10.361	12.138	17.281
ZK1055.1.1	71.747	48.664	41.923
ZK1055.7.1	53.191	55.531	70.776
Y56A3A.13.1	32.136	35.398	28.918
Y48G8AL.6.1	56.918	64.899	63.776
F13C5.2.1	57.723	27.827	67.881
F13C5.5.1	15.528	8.593	3.516
K07D4.8.1	25.916	7.066	3.706
K07D4.3.1	357.483	330.832	320.821
T25D3.2.1	66.038	52.487	32.526
Y23H5A.3.1	197.02	195.676	168.969
Y23H5A.2a.1	15.271	16.448	13.98
Y57G7A.10.1	76.519	57.325	73.673
H22K11.2.1	10.614	26.398	20.155
T08E11.3.1	6.697	2.337	2.369
T08E11.2.1	18.817	8.518	7.98
F25E5.1.1	21.011	17.33	16.902
H34I24.2.1	211.617	254.219	580.066
M01G5.1.1	40.144	31.006	33.798
M01G5.3.1	50.556	78.267	58.387
M01G5.5.1	22.34	14.261	16.856
ZC190.4.1	5.394	3.126	8.236
Y40D12A.2.1	36.085	32.278	17.15
Y40D12A.1a.1	4.335	4.711	3.283
T12F5.3.1	71.915	58.562	52.203
T19D12.4a.1	44.826	63.017	113.161
T19D12.9.1	4.335	4.282	4.812
C37C3.6b.1	23.729	26.637	10.907
Y111B2A.15.1	22.677	20.469	23.936
T27E4.9.1	97.497	134.264	193.254
F11C3.3.1	166.489	121.156	34.938
R06C7.10.1	8.443	3.351	1.61
M79.1a.1	7.213	4.757	5.074
F08G2.1.1	1692.29	581.471	3309.305
T09F3.3.1	1140.439	1372.814	911.99
C42D8.2.1	7395.466	5416.162	5171.202
C04F6.1.1	8612.341	8980.002	6874.286
F23H12.4a.1	9.993	13.08	11.776
F22B3.2.1	2734.048	1474.201	3241.377
F26D10.3.1	3104.416	2590.924	2694.229
T23D8.6.1	1022.948	433.355	1043.207
F25B5.4.1	1025.023	1023.416	1059.717
T04C12.6.1	1393.442	931.584	966.183
T04C12.4.1	1393.442	931.584	966.183
R107.7.1	636.768	678.614	664.902
F07A5.7a.1	122.164	100.898	19.578
M163.3.1	589.58	292.223	1044.163
T04C12.5.1	2186.521	1526.265	1686.977
M03F4.2a.1	906.361	512.853	387.716
C37H5.8.1	584.484	685.803	565.441
K12F2.1.1	7.662	8.547	3.674
T18D3.4.1	5.36	4.348	2.752
F02A9.6.1	12.791	12.843	12.842
Y73B6BL.9a.1	302.61	146.177	493.513
F36A4.7.1	54.024	43.238	65.383
K04H4.1a.1	18.697	15.606	5.271
F01G12.5a.1	29.737	26.37	9.665
F35D6.1a.1	20.222	10.423	9.636
K10B3.8.1	255.371	216.884	190.851
K10B3.7.1	285.299	350.709	285.885
F33H1.2.1	662.201	701.062	504.728
F13D12.7a.1	163.898	156.356	177.516
K11G9.6.1	526.448	842.273	1344.872
T08G5.10.1	887.333	1412.954	1681.836
B0205.7.1	214.634	176.493	201.162
ZK1193.1.1	337.815	89.392	30.045
F59D8.2.1	2835.361	2772.921	1357.867
K07H8.6c.1	9144.246	8612.341	8897.88
C36E6.3.1	146.754	149.965	63.269
C36E6.5.1	320.459	122.279	55.211
ZC477.9a.1	13.016	7.386	5.351
E04A4.7.1	1190.282	723.621	724.725
F43E2.8a.1	323.908	392.503	442.547
F29C4.1a.1	7.119	6.807	5.344
C08B11.1.1	68.292	88.344	60.652
ZK792.6.1	72.241	47.65	62.236
C52E12.2a.1	2.743	2.554	2.031
F52E10.1a.1	11.247	11.102	11.378
C52E4.1.1	415.987	1229.987	1153.233
C15H9.6a.1	458.649	512.427	698.202
K02F2.2.1	1947.599	948.384	960.244
F57B9.6a.1	894.821	814.042	795.765
Y38A10A.5.1	1040.487	1327.525	1226.703
W09C2.1b.1	17.082	12.94	19.464
T01G9.6a.1	256.97	154.53	199.491
F25H5.4a.1	2454.47	2333.248	2062.985
C35D10.9b.1	15.582	13.342	18.923
R07E4.6a.1	53.849	66.885	77.192
ZK637.13.1	182.571	227.771	107.92
ZK637.8a.1	65.509	80.559	87.145
ZK637.2.1	110.444	79.752	65.079
ZK637.7b.1	30.546	35.473	41.978
ZK637.14.1	27.323	11.989	23.318
ZK637.5.1	85.048	96.155	94.283
ZK637.11.1	34.369	13.019	17.008
ZK637.3.1	63.363	96.268	80.78
R08D7.1.1	30.04	26.263	29.634
R08D7.2.1	26.83	45.814	26.743
R08D7.3.1	136.623	172.468	174.046
R08D7.4a.1	13.815	9.553	6.696
R08D7.6a.1	26.535	13.692	16.737
ZK643.2.1	46.647	15.925	24.0
ZK643.5.1	43.663	30.133	44.17
F10D11.1.1	349.532	551.943	454.568
T20B12.2.1	50.986	36.12	76.61
R107.1a.1	15.354	6.262	5.576
R107.4b.1	29.656	26.825	24.043
R107.5b.1	29.182	68.681	56.643
R107.6a.1	22.595	35.67	28.852
T11G6.1b.1	138.755	123.223	119.124
F59B2.7.1	109.911	147.63	172.246
B0303.3.1	203.767	174.86	178.156
B0303.4.1	25.171	20.711	24.218
B0303.7a.1	14.546	21.681	16.42
B0303.9.1	27.201	21.496	17.202
B0303.14.1	9.655	6.332	9.817
B0303.15.1	70.813	96.236	74.184
B0523.5.1	18.979	18.821	18.53
C02C2.3.1	6.645	7.688	11.368
ZK688.9.1	31.614	22.666	27.667
C02F5.1.1	55.327	38.789	37.365
C02F5.3.1	67.179	61.221	47.331
C02F5.4.1	26.994	43.288	30.093
C02F5.6b.1	36.949	40.173	57.043
C02F5.7b.1	8.681	8.32	17.008
C02F5.9.1	550.9	456.122	465.011
C04D8.1a.1	7.796	6.309	6.19
C06E1.9.1	27.793	29.698	24.844
C06E1.10.1	9.644	12.752	10.324
C06G4.1.1	13.635	15.117	15.188
C06G4.2a.1	26.528	27.055	30.808
C07A9.2.1	175.921	133.752	132.555
C07A9.3b.1	50.259	46.218	56.194
C07A9.4.1	5.298	4.588	3.144
C07A9.6.1	15.489	4.665	4.192
C07A9.7a.1	15.993	15.625	16.273
C07A9.9.1	13.306	10.273	12.21
C07A9.11.1	2.872	2.621	3.865
C08C3.4a.1	73.236	27.432	32.402
C13G5.2.1	10.469	12.756	11.698
C14B9.1.1	90.617	57.962	39.549
C14B9.2.1	28.174	36.293	46.636
C14B9.6a.1	5.086	5.107	4.791
C14B9.7.1	3394.233	3409.948	3851.311
C14B9.8a.1	15.973	13.233	14.12
C27D11.1.1	134.395	121.703	142.076
C29E4.2.1	24.631	19.765	28.639
C29E4.3a.1	72.314	56.569	51.728
C29E4.4.1	49.945	64.979	59.306
C29E4.8.1	228.684	259.083	169.082
C30A5.2.1	8.154	6.699	3.014
C30A5.3.1	102.594	57.029	120.172
C48B4.1.1	12.602	27.448	20.392
C48B4.4c.1	19.863	21.128	28.749
C48B4.6.1	102.437	114.737	148.634
C48B4.7.1	56.654	41.417	78.141
C48B4.8a.1	22.968	8.58	11.918
C48B4.10.1	72.419	53.967	65.858
C50C3.1.1	13.386	12.905	10.266
C50C3.6.1	90.365	90.796	123.135
C50C3.7.1	6.991	6.299	9.034
C50C3.8.1	81.742	94.754	139.992
D2007.1.1	94.648	98.911	156.541
D2007.4.1	70.784	37.95	40.03
D2007.5.1	20.088	30.018	33.467
F02A9.2.1	1659.928	1543.748	2052.647
F02A9.3.1	5478.036	6382.009	3382.027
F02A9.10.1	97.078	110.41	106.029
F09G8.3.1	37.892	50.979	39.912
F09G8.7.1	138.289	170.53	172.994
F09G8.8.1	19.07	31.68	26.436
F10E9.3.1	35.629	19.455	44.84
F10E9.5.1	15.091	12.491	14.527
F10E9.6c.1	10.666	7.962	18.799
F10E9.7.1	33.022	24.797	19.138
F22B7.6a.1	10.833	21.915	12.845
F42H10.2.1	43.951	57.114	40.712
F42H10.3a.1	12.56	14.431	9.476
F42H10.6.1	42.638	30.1	33.458
F42H10.7b.1	20.265	10.284	15.869
F44B9.1a.1	7.801	5.114	3.209
F44B9.3a.1	17.392	12.562	15.402
F44B9.4a.1	10.679	4.098	7.69
F44B9.6.1	24.399	13.184	24.8
F44B9.7.1	25.245	29.076	36.386
F44B9.8.1	90.519	95.432	91.999
F44E2.3.1	23.29	11.913	16.569
F44E2.6a.1	71.332	78.531	56.821
F44E2.7a.1	16.303	25.923	25.43
F54C8.2.1	40.723	30.861	31.572
F54C8.3.1	28.724	25.886	27.13
F54C8.4a.1	25.109	22.848	32.566
F54C8.5.1	23.768	34.692	28.526
F54C8.7b.1	33.316	26.174	32.9
F54F2.1.1	10.214	9.273	3.555
F54F2.2a.1	30.134	33.531	37.636
F54F2.5.1	13.533	16.77	14.28
F54F2.7.1	22.011	20.709	18.476
F54F2.8.1	112.429	131.511	109.642
F54F2.9.1	14.659	12.378	14.707
F54H12.1a.1	471.044	629.633	597.106
F54H12.5.1	14.012	11.715	7.543
F54H12.6.1	1774.789	1532.372	1053.842
F55H2.1b.1	42.158	38.787	74.627
F55H2.2.1	184.382	180.08	166.837
F55H2.5.1	31.449	39.532	46.799
F55H2.6.1	101.672	99.706	96.722
F55H2.7.1	20.299	18.464	16.996
F58A4.2.1	32.143	75.071	55.196
F58A4.3.1	50.802	81.546	83.877
F58A4.4a.1	101.474	78.851	82.284
F58A4.8.1	100.426	73.8	81.136
F58A4.10.1	506.573	462.078	413.826
F59B2.2.1	37.374	45.166	37.604
F59B2.3.1	24.23	35.747	41.811
F59B2.6.1	19.825	13.005	18.485
K01B6.1.1	4.786	3.537	4.407
K02D10.1a.1	65.735	71.745	57.643
PAR2.1.1	180.181	187.629	160.034
K03H1.2.1	25.164	20.782	22.216
K03H1.3.1	23.558	36.993	42.667
K03H1.4.1	1222.618	1659.928	2449.756
K03H1.5.1	2.617	2.866	6.349
K03H1.6.1	25.792	59.93	35.274
K04H4.6b.1	25.198	28.545	22.056
K06H7.2.1	5.487	3.626	5.67
K06H7.3.1	23.517	30.022	36.625
K06H7.4.1	21.961	25.015	40.904
K11H3.1b.1	259.4	294.105	218.462
K11H3.3.1	87.391	105.937	59.542
K12H4.2.1	25.847	20.826	15.619
K12H4.3.1	32.778	50.728	41.563
K12H4.4.1	245.668	215.148	222.168
K12H4.5.1	431.77	206.816	233.894
K12H4.7.1	197.756	207.333	100.036
K12H4.8.1	28.036	24.764	24.95
R05D3.12a.1	9.297	7.84	6.477
R05D3.2.1	13.178	9.346	15.927
R05D3.4b.1	20.423	24.013	30.944
ZC262.5.1	81.716	52.335	19.459
R05D3.7.1	58.146	54.561	64.761
R05D3.8.1	22.894	13.582	12.845
R05D3.11.1	46.467	29.929	30.049
R10E11.1b.1	14.98	13.721	20.301
R10E11.3a.1	8.76	15.814	14.038
R10E11.4.1	13.264	18.178	14.702
R10E11.6a.1	9.831	7.585	10.749
R10E12.1b.1	88.825	91.555	155.042
R10E12.2.1	15.091	4.557	11.243
T05G5.3.1	318.088	282.837	324.309
T05G5.5a.1	23.425	38.936	32.31
T05G5.6.1	477.324	330.045	261.225
T05G5.7a.1	664.391	511.531	342.865
T05G5.8a.1	18.478	10.117	10.832
T05G5.10b.1	2335.624	1774.006	1494.6
T16H12.4.1	33.462	23.318	30.578
T16H12.5a.1	14.751	22.655	24.576
T16H12.9.1	7.09	1.921	6.194
T20G5.1.1	215.495	178.15	187.217
T20G5.2.1	674.503	524.817	589.274
K08E5.3a.1	2.678	2.567	1.353
T20G5.4a.1	4.425	1.74	2.988
T26G10.1.1	45.604	25.592	24.524
ZC262.2a.1	48.237	74.718	55.804
ZC262.3.1	37.554	55.786	61.984
ZK1098.1a.1	24.83	27.572	42.122
ZK1098.2.1	17.286	17.514	24.741
ZK1098.3.1	7.978	8.796	6.62
ZK1098.4.1	87.889	67.688	66.964
ZK1098.5.1	81.501	93.402	75.825
ZK1098.8.1	16.352	11.479	14.196
ZK1098.10b.1	4.596	7.524	6.26
ZK112.1.1	36.141	82.019	63.462
ZK112.2g.1	102.868	86.209	93.903
ZK1236.1.1	4.683	7.909	5.441
ZK1236.2.1	31.511	21.099	33.605
ZK1236.5.1	88.139	63.342	58.736
ZK1236.6.1	119.112	51.471	88.706
ZK1236.7b.1	30.599	22.739	24.257
ZK353.1b.1	32.762	13.176	29.501
ZK353.6.1	185.654	154.293	174.859
ZK353.7.1	24.286	22.811	17.719
ZK353.8.1	62.242	43.467	65.684
ZK507.4.1	16.522	12.597	8.916
ZK507.6.1	39.876	39.656	52.005
ZK512.2a.1	21.477	36.901	31.799
ZK512.4.1	118.945	115.925	96.889
ZK512.5a.1	15.661	21.351	18.448
ZK512.7.1	126.076	180.954	83.321
ZK632.1a.1	279.314	218.659	202.058
ZK632.2.1	33.036	42.709	33.779
ZK632.3.1	39.447	42.249	54.362
ZK632.4.1	98.323	72.297	122.527
ZK632.5.1	13.537	25.69	23.4
ZK632.6a.1	164.565	222.694	217.387
ZK632.7.1	33.444	51.721	64.515
ZK632.9.1	1357.046	1115.373	1109.972
ZK632.10.1	732.518	580.18	1074.525
ZK632.11.1	26.126	32.389	20.659
ZK632.12.1	20.876	35.718	33.303
ZK652.1.1	498.252	502.563	547.3
ZK652.2.1	534.255	333.537	260.938
ZK652.3.1	198.577	225.32	194.29
ZK652.4.1	3394.143	2736.678	2958.423
ZK652.9.1	71.016	71.813	55.087
ZK686.2.1	13.12	18.408	18.12
ZK686.4.1	54.15	45.221	37.626
ZK688.2.1	18.852	20.27	27.211
ZK688.3.1	49.343	39.72	39.365
ZK688.6.1	34.941	51.703	47.489
ZK688.8.1	42.009	52.166	40.577
D2024.6.1	204.349	195.712	203.42
M106.5.1	161.823	131.617	137.564
T21G5.3.1	262.823	221.808	193.785
C47B2.3.1	1675.837	1435.128	1506.47
T01G9.2a.1	74.058	88.565	109.833
T27E4.2.1	48.927	56.24	116.943
C15F1.7a.1	684.588	878.39	694.588
T04A8.14.1	47.751	35.032	51.652
F10C2.2.1	44.636	16.127	19.788
C25D7.3.1	3.128	3.791	3.848
T19E7.2a.1	24.935	35.288	62.407
Y47D3A.6a.1	11.212	9.084	9.987
C15F1.3a.1	2.79	3.518	5.124
K08E7.9.1	8.013	6.248	12.796
ZK455.7.1	2.857	7.828	5.748
C44B12.2a.1	175.555	252.921	138.46
B0545.1a.1	5.925	6.244	8.917
ZK1098.7.1	86.976	59.46	60.814
C38D4.6a.1	23.216	16.032	10.688
T01G9.5a.1	87.932	81.194	65.718
F57F5.5a.1	9.993	13.671	10.646
M7.1.1	1208.579	862.604	1111.571
ZK822.3b.1	5.746	5.968	7.949
K11D2.3a.1	40.217	47.605	33.898
R160.1a.1	33.461	31.411	40.031
W09H1.6a.1	617.437	640.324	633.764
F10G8.5.1	114.498	182.861	261.54
H06I04.4a.1	2247.536	2797.978	2050.743
F08B6.4a.1	162.479	112.943	39.602
C02C6.1a.1	50.715	36.19	43.281
F43C1.2b.1	128.145	107.427	105.865
F01G4.6a.1	1197.237	830.891	780.97
F31E3.1.1	18.404	15.102	29.865
C01H6.5a.1	3.014	3.315	1.998
F44A6.2.1	72.914	27.941	81.385
T20B12.1.1	21.078	28.413	26.398
T20B12.3.1	17.967	16.0	16.265
T20B12.6a.1	4.152	3.597	5.869
T20B12.7.1	167.685	176.659	141.548
T20B12.8.1	45.473	32.34	59.513
F23B2.5a.1	14.922	32.806	19.681
F37A4.8.1	100.897	99.255	127.733
F37A4.1.1	40.152	35.083	37.914
F37A4.2.1	79.328	41.73	36.842
F37A4.9.1	98.029	78.576	95.277
K11C4.4.1	11.735	16.262	13.556
M117.2a.1	2968.795	2684.105	2097.08
B0272.3.1	148.068	161.598	142.76
B0272.2.1	19.02	22.37	15.802
D1044.6.1	18.728	14.559	12.341
T07C4.7a.1	388.205	245.822	300.237
T07C4.8.1	32.235	31.459	36.239
T05C12.7.1	292.08	222.599	206.109
K08D9.3a.1	10.51	10.421	11.993
Y46G5A.27.1	22.998	13.027	14.07
B0280.1a.1	32.701	37.519	40.812
B0280.3.1	108.677	106.193	86.548
B0280.5.1	1875.466	3049.48	1860.767
B0280.9.1	24.953	19.995	23.852
C03C10.1.1	337.1	349.02	400.389
C03C10.3.1	686.474	369.384	697.075
C03C10.4.1	28.279	28.731	33.321
C48D1.2a.1	67.514	45.876	73.868
T10H4.12.1	43.274	61.832	76.892
F44C4.3.1	105.631	436.94	325.661
W07B8.5.1	89.289	87.198	125.183
C25B8.3.1	677.738	1177.668	996.32
Y73C8B.4.1	9.253	4.722	8.327
PAR2.3a.1	21.374	33.796	42.041
PAR2.4a.1	47.879	48.596	37.307
T09A5.2a.1	3.822	1.887	1.356
T09A5.5.1	97.722	61.185	49.667
T09A5.8.1	48.059	21.691	28.72
T09A5.9.1	53.859	87.775	88.975
T09A5.10.1	50.521	65.093	51.262
T09A5.11.1	232.437	194.786	207.251
T09A5.12.1	14.257	14.314	8.947
C01G6.5.1	23.229	24.506	35.979
F23F12.6.1	340.648	326.137	300.623
F23F12.9a.1	25.931	20.199	106.655
T17E9.2a.1	209.775	117.774	133.083
T17E9.1a.1	16.271	9.534	17.756
F01F1.8a.1	346.574	248.577	248.612
B0285.1a.1	42.438	26.079	30.021
B0285.4.1	115.47	96.532	104.326
B0285.7.1	6.613	3.619	5.004
B0285.9.1	29.102	14.779	22.003
C34E10.6.1	1722.022	1275.845	1048.75
F01F1.6.1	191.772	187.828	89.604
F01F1.12.1	1439.561	1041.147	903.637
C34E10.1.1	38.243	31.397	30.793
C34E10.2.1	42.605	64.481	57.062
C34E10.3.1	6.502	10.354	6.784
C34E10.5.1	60.098	48.817	44.651
C34E10.8.1	10.226	8.571	11.208
B0393.1.1	2899.473	2397.208	2720.681
C18C4.10b.1	25.81	23.359	32.054
T12A2.2.1	145.987	147.53	182.283
T21B10.7.1	361.696	308.853	269.014
K01C8.10.1	330.138	254.519	242.813
