pct	IC
2.0	5.920641426311489
3.0	5.8731752447691195
4.0	5.843590924624458
5.0	5.803959632766925
6.0	5.761458624489716
7.0	5.701566929643199
8.0	5.668060358964494
9.0	5.644857543644529
10.0	5.575260131803431
11.0	5.542272593631069
12.0	5.502781733163173
13.0	5.474102601869914
14.0	5.426071536036209
15.0	5.401660840036327
16.0	5.3653969791351335
17.0	5.300363771043696
18.0	5.25107461930876
19.0	5.2246579562721855
20.0	5.170592227509772
21.0	5.109057499422606
22.0	5.058378815817569
23.0	5.026946852773056
24.0	4.993918299509265
25.0	4.933286083398549
26.0	4.878660695797931
27.0	4.828554531386034
28.0	4.789387620162027
29.0	4.739675211097999
30.0	4.701761469080678
31.0	4.64847245425438
32.0	4.611023386825307
33.0	4.596694430451937
34.0	4.571294728892607
35.0	4.528818752137065
36.0	4.486841652138111
37.0	4.379295419747392
38.0	4.290015003171384
39.0	4.231564984839282
40.0	4.170805668925101
41.0	4.124786783636246
42.0	4.080736505822119
43.0	4.041736746840793
44.0	3.9695682064014903
45.0	3.8619654376377293
46.0	3.7938505392842155
47.0	3.723251524335763
48.0	3.6659826247504603
49.0	3.557177291510182
