pct	IC
2.0	5.918951384029251
3.0	5.870406879637765
4.0	5.838248323229839
5.0	5.787794087092161
6.0	5.737307630884972
7.0	5.692193268391886
8.0	5.640564050934524
9.0	5.6219075436123385
10.0	5.5559831455599875
11.0	5.512893085225761
12.0	5.468150948516483
13.0	5.433533312581896
14.0	5.4021517553886635
15.0	5.368246443305623
16.0	5.323016989579604
17.0	5.291405762169635
18.0	5.263617199277977
19.0	5.195501781050238
20.0	5.145667683913915
21.0	5.097881781935649
22.0	5.012912539218628
23.0	4.938279217825749
24.0	4.902797831621296
25.0	4.8629201978302445
26.0	4.8224415919627655
27.0	4.775397245901544
28.0	4.719251147534192
29.0	4.657519269731796
30.0	4.60716743671227
31.0	4.544993585973445
32.0	4.492836653627
33.0	4.436055637966971
34.0	4.39123608771885
35.0	4.343026489068483
36.0	4.274578499414355
37.0	4.237188768945612
38.0	4.1662845683370255
39.0	4.1206997548423825
40.0	4.050384722225132
41.0	3.985333375246234
42.0	3.8374878621260846
43.0	3.7794233357153995
44.0	3.7067912430263434
45.0	3.6223113344768656
46.0	3.561609263784494
47.0	3.480720687031936
48.0	3.4263537205184558
49.0	3.3326252904626097
