young	middle	old
0.08460255972222222	0.08413433226010102	0.08420020952380952
0.12055633023952096	0.12047892222222223	0.12054572000000001
0.043056429117445644	0.042948713852813854	0.04289517545731707
0.11699770807692308	0.11733200833333332	0.1167574234848485
0.14419003958333335	0.14459601428571428	0.14391489642857144
0.1093709	0.10857783888888889	0.10815274761904761
0.5879665999999999	0.5856487434782609	0.58149234
0.10817430124170616	0.10707960631229235	0.10745506072280941
0.05408109487179487	0.05351693017582418	0.05381093052083333
0.2849752741666667	0.2885622535714286	0.2863398204402515
0.5837742611111112	0.5858229647058824	0.5901032222222222
0.285339443077957	0.28617416726190475	0.28647703989197526
0.28488433750000003	0.2869259433333333	0.28953316458333334
0.09481772222222223	0.09424503870772948	0.09400334764492753
0.05841716457345971	0.05777533845338983	0.0579880611111111
0.09006664558823528	0.08908023224377394	0.0888997446875
0.06668314076923076	0.06562439333333334	0.06567119577922079
0.16831340833333336	0.16774821540123458	0.1694992617647059
0.6124302334890965	0.6215739784126985	0.6153118587301587
0.16636465220588237	0.16538112836538463	0.16561959754901961
0.06114760000000001	0.061124371428571425	0.061029249999999986
1.2088390066666663	1.2278935666666666	1.231236418181818
1.8543865264705883	1.851758125	1.846649273076923
0.4079767121212121	0.4107096800000001	0.40982831428571426
4.492314926851852	4.504991794196428	4.449108375
3.0971663315584417	3.1034069403976794	3.0621071770516717
0.5466572611111111	0.54252645	0.5391927041666668
0.10190153041278593	0.10189495916666666	0.10241827541666666
0.2548796744186047	0.25293810714285714	0.255846623364486
1.2208893250000001	1.226917525	1.2278970555555557
0.9467852922979798	0.9431035620833335	0.943504688095238
1.2242174	1.224856	1.2354699999999998
0.042959270833333334	0.04238732428571429	0.04248597352941176
0.07495019750000001	0.07536116451612904	0.07524980093896713
0.30444573129370633	0.3092203625	0.3101968007936508
0.07389121702898552	0.07366905958333334	0.07371706
0.12451087391304347	0.12414232500000001	0.12431567515384617
0.1324400436594203	0.130800616	0.13133610757475084
1.9286068659226192	1.9183848956896554	1.9109207207482994
0.09620890810055865	0.09507156757692309	0.095234025
0.1900054705263158	0.18985265	0.1897334064171123
0.07424626333333335	0.0745518306451613	0.07457766000000002
0.29060770931677016	0.2882675071428571	0.28947304689922476
0.07572189531249998	0.07482799923469388	0.0751412111111111
0.2930063229166667	0.2878951093689131	0.2914409523809524
0.09586971829268293	0.09492164061538462	0.09460964761904764
0.2985306320000001	0.29778063636363633	0.2972826090909091
0.07779369717514124	0.07661206216216215	0.0770465652173913
0.14967581538461538	0.149626968	0.15000807518248177
0.14563465304878048	0.1450713652173913	0.14547136666666666
0.19023886206349205	0.19219137835365852	0.19068330555555557
0.18064269911164466	0.17944661756756755	0.1790388172222222
0.5870473833333333	0.5885710615384615	0.5909454316151201
0.07787250000000001	0.07682694791666667	0.07691949384615385
0.29057405000000003	0.289514692	0.2880389875
0.09748225373977405	0.09688119569354259	0.09645224307189543
0.29594714615110473	0.2903743255319149	0.2910188375
0.0836612625	0.0828853	0.08262976666666667
0.11991262827225128	0.11952909583333332	0.11950297272727273
0.060150339124999994	0.059875421666666664	0.059799060714285715
0.11799617777777778	0.11695102113821138	0.11692331
