target_id	length	eff_length	est_counts	tpm
YAL001C	3463	3440	34	16.1893
YAL002W	3805	3782	18	7.79576
YAL003W	601	578	516	1462.28
YAL005C	1909	1886	5064.73	4398.68
YAL007C	628	605	16	43.3184
YAL008W	577	554	46	136.005
YAL009W	760	737	3	6.66747
YAL010C	1462	1439	10	11.3827
YAL011W	1858	1835	15	13.3894
YAL012W	1165	1142	302	433.16
YAL013W	1198	1175	17	23.6984
YAL014C	748	725	15	33.8891
YAL015C	1180	1157	12	16.9885
YAL016W	1888	1865	137	120.323
YAL017W	4051	4028	72	29.2786
YAL018C	958	935	0	0
YAL019W	3376	3353	30	14.6553
YAL020C	982	959	0	0
YAL021C	2494	2471	62	41.0985
YAL022C	1534	1511	22	23.8487
YAL023C	2260	2237	96	70.2931
YAL024C	4288	4265	18	6.91291
YAL025C	901	878	14	26.1181
YAL026C	4048	4025	49	19.9406
YAL027W	766	743	14	30.8636
YAL028W	1567	1544	8	8.48692
YAL029C	4396	4373	22	8.24044
YAL030W	334	311	10	52.668
YAL031C	2263	2240	19	13.8935
YAL032C	1120	1097	23	34.3422
YAL033W	502	479	4	13.6783
YAL034C	1222	1199	241	329.234
YAL034W-A	850	827	3	5.94187
YAL035W	2989	2966	143	78.9718
YAL036C	1090	1067	24	36.8429
YAL037C-A	73	50	0	0
YAL037W	784	761	1	2.1524
YAL038W	1483	1460	4870	5463.66
YAL039C	790	767	53	113.185
YAL040C	1723	1700	42	40.4676
YAL041W	2545	2522	42	27.2779
YAL042W	1228	1205	33	44.8574
YAL043C	2338	2315	41	29.0095
YAL044C	493	470	99	345.02
YAL044W-A	313	290	3	16.9446
YAL046C	337	314	4	20.8659
YAL047C	1849	1826	4	3.58812
YAL048C	1969	1946	15	12.6257
YAL049C	721	698	67	157.227
YAL051W	3124	3101	55	29.0515
YAL053W	2332	2309	168	119.177
YAL054C	2122	2099	529	412.81
YAL055W	523	500	11	36.0355
YAL056W	2623	2600	16	10.0798
YAL058W	1489	1466	11	12.2904
YAL059W	619	596	5	13.7414
YAL060W	1129	1106	97	143.656
YAL061W	1234	1211	471	637.066
YAL062W	1354	1331	250.433	308.192
YAL063C	3949	3926	0	0
YAL063C-A	271	248	0	0
YAL064C-A	361	338	0	0
YAL064W	265	242	0	0
YAL064W-B	361	338	0	0
YAL065C	367	344	0	0
YAL067C	1762	1739	8	7.53525
YAL067W-A	208	185	0	0
YAL068C	343	320	0	0
YAR002C-A	640	617	59	156.63
YAR002W	1600	1577	33	34.276
YAR003W	1261	1238	7	9.26157
YAR007C	1846	1823	84	75.4744
YAR008W	808	785	4	8.34637
YAR009C	3571	3548	0	0
YAR010C	1303	1280	0	0
YAR014C	2110	2087	24	18.8363
YAR015W	901	878	37	69.0263
YAR018C	1288	1265	8	10.3587
YAR019C	2905	2882	20	11.3669
YAR020C	148	125	1	13.1038
YAR023C	520	497	0	0
YAR027W	688	665	45	110.84
YAR028W	685	662	14	34.64
YAR029W	205	182	0	0
YAR031W	877	854	0	0
YAR033W	685	662	2	4.94857
YAR035C-A	61	38	0	0
YAR035W	2044	2021	456	369.578
YAR042W	3547	3524	49	22.7755
YAR050W	4594	4571	4	1.43336
YAR064W	280	257	0	0
YAR066W	592	569	0	0
YAR068W	466	443	1.05599	3.90447
YAR071W	1384	1361	0	0
YBL001C	295	272	45	270.989
YBL002W	376	353	121.013	561.518
YBL003C	379	356	115.608	531.918
YBL004W	7462	7439	67	14.7526
YBL005W	2911	2888	11	6.23883
YBL005W-A	1303	1280	0	0
YBL005W-B	5248	5225	3.13371	0.98238
YBL006C	523	500	10	32.7595
YBL007C	3715	3692	142	62.999
YBL008W	2503	2480	24	15.8514
YBL008W-A	220	197	0	0
YBL009W	2011	1988	9	7.41538
YBL010C	823	800	12	24.5696
YBL011W	2260	2237	26	19.0377
YBL013W	1186	1163	4	5.63362
YBL014C	2665	2642	6	3.71985
YBL015W	1561	1538	735	782.777
YBL016W	1042	1019	5	8.03717
YBL017C	4720	4697	133	46.3808
YBL018C	382	359	9	41.0634
YBL019W	1543	1520	9	9.69854
YBL020W	1705	1682	8	7.79061
YBL021C	415	392	9	37.6066
YBL022C	3382	3359	106	51.6896
YBL023C	2587	2564	23	14.6932
YBL024W	2035	2012	51	41.5193
YBL025W	418	395	16	66.3484
YBL026W	268	245	31	207.254
YBL027W	550	527	279.627	869.114
YBL028C	301	278	15	88.38
YBL029C-A	265	242	35	236.897
YBL029W	1111	1088	48	72.2636
YBL030C	937	914	1718	3078.82
YBL031W	997	974	1	1.6817
YBL032W	1126	1103	45	66.8258
YBL033C	1018	995	59	97.1262
YBL034C	4522	4499	31	11.2863
YBL035C	2098	2075	20	15.7877
YBL036C	754	731	44	98.5922
YBL037W	3058	3035	51	27.5245
YBL038W	679	656	50	124.846
YBL039C	1720	1697	40	38.6087
YBL039W-B	160	137	8	95.6482
YBL040C	640	617	37	98.2254
YBL041W	706	683	109	261.405
YBL042C	1900	1877	6	5.23594
YBL043W	754	731	590	1322.03
YBL044W	349	326	0	0
YBL045C	1354	1331	516	635.008
YBL046W	1306	1283	9	11.4901
YBL047C	4126	4103	204	81.4397
YBL049W	397	374	105	459.859
YBL050W	859	836	57	111.68
YBL051C	1987	1964	86	71.724
YBL052C	2476	2453	7	4.67421
YBL054W	1558	1535	21	22.4088
YBL055C	1237	1214	11	14.8416
YBL056W	1387	1364	56	67.2482
YBL057C	607	584	16	44.876
YBL058W	1252	1229	114	151.936
YBL059C-A	310	287	11	62.7795
YBL059W	562	539	7	21.2724
YBL060W	2044	2021	9	7.2943
YBL061C	2071	2048	24	19.195
YBL063W	3316	3293	9	4.4767
YBL064C	766	743	276	608.454
YBL066C	3427	3404	37	17.8041
YBL067C	2224	2201	42	31.2562
YBL068W	961	938	14	24.4474
YBL069W	1270	1247	24	31.5248
YBL071C-B	79	56	0	0
